Sample,Depth,Lat,Long,Date,Time,CH1903_Y,CH1903_X
AW-13-16,,47.21217,8.70437,,,695883,229798
ZH-16-10,14.1,47.2139529,8.7058507,20161221,101423,695907,229848
ZH-16-11,20.4,47.2150439,8.7062027,20161221,102549,695932,229970
ZH-16-12,23.1,47.2166439,8.7070726,20161221,103619,695995,230149
ZH-16-13,26.2,47.2214494,8.7096561,20161221,104849,696182,230686
ZH-16-14,26.4,47.2251649,8.7025639,20161221,105955,695638,231090
ZH-16-15,65.7,47.2429860,8.6812964,20161221,112422,693997,233046
ZH-16-16,24.5,47.2169177,8.7225500,20161221,114409,697167,230198
ZH-17-17,18.5,47.21100019652807,8.707456050199117,20170406,000000,696119,229673
ZH-17-18,20.2,47.210609375258656,8.708634922625622,20170406,000000,696209,229631
ZH-17-19,12.2,47.21167221282689,8.708514944094988,20170406,000000,696198,229749
ZH-17-20,2.8,47.211161259909964,8.709981407112696,20170406,000000,696310,229694
ZH-17-21,65.1,47.24071190705901,8.678678896858909,20170406,000000,693887,232941
ZH-17-22,64.5,47.24292331244297,8.676312864928404,20170406,000000,693704,233184
ZH-17-23,111,47.25108824107134,8.66905067735734,20170406,000000,693140,234083
