Pos	Runs	Type	Name	ID	Conc	Pk Ht	Pk Area	Baseline	Message	Flag	Slope	Intercept	Mass(g) / Min	Vol(ml) / Max	Dilution Factor	SD	RSD	Cal	Method	Date/Time	Mass 2 (g)	Volume 2 (ml)	Unit
10	1	Sample	wash		0.015664	0.135718	-2.216190	7.864282	----		43.058080	-0.538751	1	1	1	----	----	D	Hg_ppb_gain10	22.03.2017 13:14:05	----	----	ppb
1	1	Cal	0.00	new cal	0.00	0.119514	-4.286167	7.880486	----		0.000000	0.000000	----	----	----	----	----	C1	Hg_ppb_gain10	22.03.2017 13:19:04	----	----	ppb
2	1	Cal	0.1		0.1	5.336365	199.793500	7.863635	----		52.168510	0.119514	----	----	----	----	----	C1	Hg_ppb_gain10	22.03.2017 13:21:32	----	----	ppb
3	1	Cal	0.5		0.5	24.936370	936.746400	7.863634	----		49.452660	0.240218	----	----	----	----	----	C1	Hg_ppb_gain10	22.03.2017 13:24:00	----	----	ppb
4	1	Cal	1		1	48.820930	1835.747000	7.879067	----		48.608840	0.359759	----	----	----	----	----	C1	Hg_ppb_gain10	22.03.2017 13:26:29	----	----	ppb
5	1	Cal	2		2	97.492690	3627.781000	7.907314	----		48.568180	0.372086	----	----	----	----	----	C1	Hg_ppb_gain10	22.03.2017 13:28:58	----	----	ppb
6	1	Cal	5		5	250.335500	9177.852000	7.964444	----		49.984740	-0.471232	----	----	----	----	----	C1	Hg_ppb_gain10	22.03.2017 13:31:28	----	----	ppb
10	1	Sample	wash		0.026933	0.874996	-3.612081	8.125004	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 13:34:00	----	----	ppb
11	1	Sample	2a		0.835489	41.290470	1564.854000	7.809523	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 13:41:28	----	----	ppb
12	1	Sample	2b		0.838395	41.435710	1583.044000	7.864283	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 13:43:55	----	----	ppb
13	1	Sample	4a		0.952525	47.140480	1813.566000	7.859522	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 13:46:22	----	----	ppb
14	1	Sample	4b		0.954580	47.243180	1811.046000	7.856816	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 13:48:50	----	----	ppb
10	1	Sample	wash		0.012312	0.144188	-6.422723	7.855812	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 13:51:22	----	----	ppb
4	1	Sample	1ppb		0.955995	47.313950	1761.672000	7.786044	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 13:53:51	----	----	ppb
15	1	Sample	6a		0.833289	41.180490	1512.692000	7.819510	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 13:56:18	----	----	ppb
16	1	Sample	6b		0.755283	37.281390	1397.437000	7.818604	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 13:58:47	----	----	ppb
17	1	Sample	8a		0.907329	44.881400	1660.720000	7.818603	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 14:01:16	----	----	ppb
18	1	Sample	8b		0.939386	46.483720	1736.175000	7.816277	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 14:03:45	----	----	ppb
10	1	Sample	wash		0.011242	0.090698	-4.137812	7.809302	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 14:06:17	----	----	ppb
4	1	Sample	1ppb		0.970626	48.045240	1735.109000	7.754761	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 14:08:46	----	----	ppb
19	1	Sample	10a		0.345530	16.800000	606.621000	7.799999	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 14:11:15	----	----	ppb
20	1	Sample	10b		0.324158	15.731710	570.439300	7.768292	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 14:13:44	----	----	ppb
10	1	Sample	wash		0.012080	0.132559	-6.213820	7.767441	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 14:16:16	----	----	ppb
21	1	Sample	2711a 1		0.393154	19.180490	701.940700	7.719513	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 14:18:45	----	----	ppb
22	1	Sample	2711a 2		0.404412	19.743180	737.831700	7.756819	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 14:21:15	----	----	ppb
10	1	Sample	wash		0.010544	0.055816	-4.114913	7.744184	----		49.984740	-0.471232	1	1	1	----	----	C1	Hg_ppb_gain10	22.03.2017 14:23:47	----	----	ppb
