Pos ,Runs ,Type   ,Name               ,ID      ,Conc     ,Pk Ht       ,Pk Area      ,Baseline  ,Message      ,Flag ,Slope      ,Intercept ,Mass(g) / Min ,Vol(ml) / Max ,Dilution Factor ,SD   ,RSD  ,Cal ,Method         ,Date/Time           ,Mass 2 (g) ,Volume 2 (ml) ,Unit
1   ,1    ,Cal    ,0.00               ,new cal ,0.00     ,1.136589    ,-60.496120   ,76.063410 ,----         ,     ,0.000000   ,0.000000  ,----          ,----          ,----            ,---- ,---- ,C5  ,Hg_ppb_gain100 ,18.05.2017 15:05:00 ,----       ,----          ,ppb
2   ,1    ,Cal    ,0.01               ,        ,0.01     ,6.431709    ,195.106200   ,76.068290 ,----         ,     ,529.512000 ,1.136589  ,----          ,----          ,----            ,---- ,---- ,C5  ,Hg_ppb_gain100 ,18.05.2017 15:07:27 ,----       ,----          ,ppb
3   ,1    ,Cal    ,0.025              ,        ,0.025    ,14.129540   ,521.523700   ,75.970460 ,----         ,     ,519.202600 ,1.175249  ,----          ,----          ,----            ,---- ,---- ,C5  ,Hg_ppb_gain100 ,18.05.2017 15:09:55 ,----       ,----          ,ppb
4   ,1    ,Cal    ,0.1                ,        ,0.1      ,46.852380   ,1686.078000  ,76.147620 ,----         ,     ,452.153800 ,1.877363  ,----          ,----          ,----            ,---- ,---- ,C5  ,Hg_ppb_gain100 ,18.05.2017 15:12:23 ,----       ,----          ,ppb
5   ,1    ,Cal    ,0.5                ,        ,0.5      ,240.248800  ,8408.480000  ,76.151210 ,----         ,     ,477.619500 ,1.102129  ,----          ,----          ,----            ,---- ,---- ,C5  ,Hg_ppb_gain100 ,18.05.2017 15:14:52 ,----       ,----          ,ppb
6   ,1    ,Cal    ,1                  ,        ,1        ,478.915500  ,17204.580000 ,76.684440 ,----         ,     ,477.792500 ,1.087285  ,----          ,----          ,----            ,---- ,---- ,C5  ,Hg_ppb_gain100 ,18.05.2017 15:17:22 ,----       ,----          ,ppb
10  ,1    ,Sample ,wash               ,        ,0.000000 ,0.574997    ,-119.210400  ,77.325000 ,----         ,     ,477.792500 ,1.087285  ,1             ,1             ,1               ,---- ,---- ,C5  ,Hg_ppb_gain100 ,18.05.2017 15:19:54 ,----       ,----          ,ppb
71  ,1    ,Sample ,Z10Hg3a 1          ,        ,0.289107 ,139.220500  ,5231.526000  ,75.979550 ,----         ,     ,477.792500 ,1.087285  ,1             ,1             ,1               ,---- ,---- ,C5  ,Hg_ppb_gain100 ,18.05.2017 16:00:28 ,----       ,----          ,ppb
72  ,1    ,Sample ,Z10Hg3b 1          ,        ,0.290864 ,140.060000  ,5132.252000  ,76.239980 ,----         ,     ,477.792500 ,1.087285  ,1             ,1             ,1               ,---- ,---- ,C5  ,Hg_ppb_gain100 ,18.05.2017 16:02:57 ,----       ,----          ,ppb
73  ,1    ,Sample ,Z10Hg3c 1          ,        ,0.287064 ,138.244400  ,5051.159000  ,76.355560 ,----         ,     ,477.792500 ,1.087285  ,1             ,1             ,1               ,---- ,---- ,C5  ,Hg_ppb_gain100 ,18.05.2017 16:05:25 ,----       ,----          ,ppb
