AFSName	PseudoRep	Replicate	Top	Bottom	CoreID	ExtractionType	Weight	Exclude	Dil2Factor	Dil1Factor	DigestionDilution
A16Hg1 F1 1	1	1	43	44	AW-13-16	F1	504.1	FALSE	100	302	50
A16Hg1 F1 2	2	1	43	44	AW-13-16	F1	504.1	FALSE	100	302	50
A16Hg1 E2 1	1	1	43	44	AW-13-16	F2	504.1	FALSE	100	302	50
A16Hg1 E2 2	2	1	43	44	AW-13-16	F2	504.1	FALSE	100	302	50
A16Hg1 E1 1	1	1	43	44	AW-13-16	T	494.3	FALSE	100	297	50
A16Hg1 E1 2	2	1	43	44	AW-13-16	T	494.3	FALSE	100	297	50
2711a I 1	1	1			NIST	T	505.3	FALSE	1	150	50
2711a II 1	1	2			NIST	T	502.2	FALSE	1	149	50
2711a I 2	2	1			NIST	T	505.3	FALSE	1	150	50
2711a II 2	2	2			NIST	T	502.2	FALSE	1	149	50
Z10Hg3a F1 1	1	1	6.5	7	ZH-16-10	F1	498.9	FALSE	100	25	50
Z10Hg3b F1 1	1	2	6.5	7	ZH-16-10	F1	508.8	FALSE	100	25	50
Z10Hg3c F1 1	1	3	6.5	7	ZH-16-10	F1	495.6	FALSE	100	25	50
Z10Hg3a F1 2	2	1	6.5	7	ZH-16-10	F1	498.9	FALSE	100	25	50
Z10Hg6 F1 1	1	1	8	8.5	ZH-16-10	F1	494.9	FALSE	100	70	50
Z10Hg6 F1 2	2	1	8	8.5	ZH-16-10	F1	494.9	FALSE	100	70	50
Z10Hg10 F1 1	1	1	15	15.5	ZH-16-10	F1	507.1	FALSE	1	63	50
Z10Hg10 F1 2	2	1	15	15.5	ZH-16-10	F1	507.1	FALSE	1	63	50
Z10Hg3a 1	1	1	6.5	7	ZH-16-10	F2	498.9	FALSE	100	25	50
Z10Hg3b 1	1	2	6.5	7	ZH-16-10	F2	508.8	FALSE	100	25	50
Z10Hg3c 1	1	3	6.5	7	ZH-16-10	F2	495.6	FALSE	100	25	50
Z10Hg3a 2	2	1	6.5	7	ZH-16-10	F2	498.9	FALSE	100	25	50
Z10Hg6 1	1	1	8	8.5	ZH-16-10	F2	494.9	FALSE	100	70	50
Z10Hg6 2	2	1	8	8.5	ZH-16-10	F2	494.9	FALSE	100	70	50
Z10Hg10	1	1	15	15.5	ZH-16-10	F2	507.1	FALSE	1	63	50
Z10Hg10 2	2	1	15	15.5	ZH-16-10	F2	507.1	FALSE	1	63	50
2a	1	2	6	6.5	ZH-16-10	T	97.2	FALSE	50	3.318951211	50
2b	1	3	6	6.5	ZH-16-10	T	108.4	FALSE	50	3.701647233	50
4a	1	2	7	7.5	ZH-16-10	T	95.9	FALSE	50	9.29800093	50
4b	1	3	7	7.5	ZH-16-10	T	96.3	FALSE	50	9.337068161	50
6a	1	2	8	8.5	ZH-16-10	T	102.2	FALSE	50	18.23154057	50
6b	1	3	8	8.5	ZH-16-10	T	100.8	FALSE	50	17.98561151	50
8a	1	2	9	9.5	ZH-16-10	T	96	FALSE	50	4.854368932	50
8b	1	3	9	9.5	ZH-16-10	T	93	FALSE	50	4.702562897	50
10a	1	2	15	15.5	ZH-16-10	T	91.5	FALSE	1	16.89189189	50
10b	1	3	15	15.5	ZH-16-10	T	96	FALSE	1	17.73049645	50
2711a 1	1	1			NIST	T	103.2	FALSE	1	38.31417625	50
2711a 2	1	2			NIST	T	107.1	FALSE	1	39.68253968	50
Z11Hg5 F1 1	1	1	12	12.5	ZH-16-11	F1	494.7	TRUE			50
Z11Hg5 F1 1 Rerun	2	1	12	12.5	ZH-16-11	F1	494.7	FALSE	1	20	50
Z11Hg5 F1 2 Rerun	3	1	12	12.5	ZH-16-11	F1	494.7	FALSE	1	20	50
Z11Hg5 E2 1	1	1	12	12.5	ZH-16-11	F2	494.7	TRUE			50
Z11Hg5 E2 1 Rerun	2	1	12	12.5	ZH-16-11	F2	494.7	FALSE	1	20	50
Z11Hg5 E2 2 Rerun	3	1	12	12.5	ZH-16-11	F2	494.7	FALSE	1	20	50
Z11Hg5 E1 1	1	1	12	12.5	ZH-16-11	T	506.9	TRUE			50
Z11Hg5 E1 1 Rerun	2	1	12	12.5	ZH-16-11	T	506.9	TRUE			50
Z11Hg5 E1 1 Rerun2	3	1	12	12.5	ZH-16-11	T	506.9	TRUE			50
Z11Hg5 E1 1 Rerun3	4	1	12	12.5	ZH-16-11	T	506.9	FALSE	2	21	50
Z11Hg5 E1 2 Rerun2	5	1	12	12.5	ZH-16-11	T	506.9	FALSE	2	21	50
2711a Ref	1	1			NIST	T	497	FALSE	1	70.92198582	52
Z10Hg1	1	1	0	0.5	ZH-16-10	T	494.3	FALSE	50	6.084575601	52
Z10Hg2	1	1	6	6.5	ZH-16-10	T	493.2	FALSE	50	7.733952049	52
Z10Hg3	1	1	6.5	7	ZH-16-10	T	505.5	FALSE	50	16.62510391	52
Z10Hg4	1	1	7	7.5	ZH-16-10	T	499.5	FALSE	50	27.70083102	52
Z10Hg5	1	1	7.5	8	ZH-16-10	T	500.9	FALSE	50	56.33802817	52
Z10Hg6	1	1	8	8.5	ZH-16-10	T	496.3	FALSE	50	90.09009009	52
Z10Hg7	1	1	8.5	9	ZH-16-10	T	501.4	FALSE	50	113.6363636	52
Z10Hg8	1	1	9	9.5	ZH-16-10	T	501.2	FALSE	50	43.57298475	52
Z10Hg9	1	1	9.5	10	ZH-16-10	T	498.8	FALSE	50	3.888024883	52
Z10Hg10	1	1	15	15.5	ZH-16-10	T	501	FALSE	50	3.637024914	52
