202/198 raw;Error;201/198 raw;Error;200/198 raw;Error;199/198 raw;Error;204/198 raw;Error;198/196 raw;Error;202/198 Tl corr;Error;201/198 Tl corr;Error;200/198 Tl corr;Error;199/198 Tl corr;Error;204/198 Tl corr;Error;198/196 Tl corr;Error;Total Hg beam;Error;Total Tl beam;Error;Fract;Error;Hg196 beam;Error;Hg198 beam;Error;Hg199 beam;Error;Hg200 beam;Error;Hg201 beam;Error;Hg202 beam;Error;Hg204 beam;Error;Tl203 beam;Error;Tl205 beam;Error;Pt195 beam;Error;Au197 beam;Error;Pb207 beam;Error;Pb204/Hg204;Error;Pt198/Hg198;Error;Pt196/Hg196;Error;Sample Name;Date and Time;File Number
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.031787E+00; { 3.32E-05 } ;1.335500E+00; { 1.32E-05 } ;2.332359E+00; { 8.71E-05 } ;1.697500E+00; { 2.28E-05 } ;7.028251E-01; { 1.35E-05 } ;6.591060E+01; { 1.65E-02 } ;2.965975E+00; { 3.70E-05 } ;1.313656E+00; { 1.90E-05 } ;2.306822E+00; { 7.84E-05 } ;1.688140E+00; { 2.14E-05 } ;6.801704E-01; { 1.56E-05 } ;6.518101E+01; { 1.63E-02 } ;9.600533E+00; { 1.79E-02 } ;1.957191E+01; { 3.67E-02 } ;-1.095841E+00; { 5.74E-04 } ;1.438807E-02; { 2.54E-05 } ;9.491225E-01; { 1.77E-03 } ;1.611135E+00; { 3.00E-03 } ;2.213700E+00; { 4.12E-03 } ;1.267576E+00; { 2.36E-03 } ;2.877531E+00; { 5.35E-03 } ;6.670692E-01; { 1.24E-03 } ;5.734595E+00; { 1.08E-02 } ;1.383732E+01; { 2.60E-02 } ;5.449881E-06; { 3.10E-06 } ;-2.727801E-05; { 5.12E-06 } ;1.382448E-04; { 2.31E-06 } ;1.315312E-05; { 2.11E-07 } ;1.218378E-06; { 7.00E-07 } ;2.799179E-04; { 1.61E-04 } ;'NIST 10ppb' run on 05 December 2016 at 16:20;;
3.028082E+00; { 4.58E-05 } ;1.334325E+00; { 1.91E-05 } ;2.330787E+00; { 1.14E-04 } ;1.697153E+00; { 1.80E-05 } ;7.015590E-01; { 1.57E-05 } ;6.586191E+01; { 2.10E-02 } ;2.961752E+00; { 4.64E-05 } ;1.312302E+00; { 1.96E-05 } ;2.305050E+00; { 1.19E-04 } ;1.687704E+00; { 1.89E-05 } ;6.787516E-01; { 1.45E-05 } ;6.512628E+01; { 2.08E-02 } ;9.089176E+00; { 5.06E-03 } ;1.976863E+01; { 5.31E-02 } ;-1.106282E+00; { 8.16E-04 } ;1.365463E-02; { 8.90E-06 } ;8.992909E-01; { 5.04E-04 } ;1.526222E+00; { 8.55E-04 } ;2.096606E+00; { 1.07E-03 } ;1.200250E+00; { 6.06E-04 } ;2.723117E+00; { 1.50E-03 } ;6.308962E-01; { 3.47E-04 } ;5.791830E+00; { 1.55E-02 } ;1.397680E+01; { 3.75E-02 } ;-9.198411E-07; { 2.58E-06 } ;-8.298285E-08; { 4.09E-06 } ;1.221343E-04; { 2.34E-06 } ;1.229550E-05; { 2.36E-07 } ;3.848494E-08; { 5.77E-07 } ;-5.166697E-05; { 1.42E-04 } ;'Fluka 10ppb' run on 05 December 2016 at 16:35;;
3.033674E+00; { 6.15E-05 } ;1.336194E+00; { 2.15E-05 } ;2.333116E+00; { 8.88E-05 } ;1.697788E+00; { 2.46E-05 } ;7.035043E-01; { 1.83E-05 } ;6.587517E+01; { 1.67E-02 } ;2.966232E+00; { 4.58E-05 } ;1.313789E+00; { 1.93E-05 } ;2.306956E+00; { 9.20E-05 } ;1.688191E+00; { 2.29E-05 } ;6.802854E-01; { 1.33E-05 } ;6.512831E+01; { 1.66E-02 } ;9.656284E+00; { 1.38E-02 } ;2.001569E+01; { 4.11E-02 } ;-1.122082E+00; { 7.09E-04 } ;1.448396E-02; { 2.14E-05 } ;9.542298E-01; { 1.35E-03 } ;1.620080E+00; { 2.29E-03 } ;2.226318E+00; { 3.17E-03 } ;1.275035E+00; { 1.82E-03 } ;2.894824E+00; { 4.13E-03 } ;6.713134E-01; { 9.61E-04 } ;5.863535E+00; { 1.20E-02 } ;1.415216E+01; { 2.90E-02 } ;1.719357E-06; { 2.95E-06 } ;1.514007E-05; { 6.03E-06 } ;1.346234E-04; { 2.72E-06 } ;1.273102E-05; { 2.51E-07 } ;3.889004E-07; { 6.66E-07 } ;8.880749E-05; { 1.53E-04 } ;'NIST 10ppb' run on 05 December 2016 at 16:50;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.029726E+00; { 8.95E-05 } ;1.334843E+00; { 2.93E-05 } ;2.331553E+00; { 6.25E-05 } ;1.697314E+00; { 2.11E-05 } ;7.020564E-01; { 2.38E-05 } ;6.582903E+01; { 1.30E-02 } ;2.964574E+00; { 7.15E-05 } ;1.313198E+00; { 2.70E-05 } ;2.306183E+00; { 6.40E-05 } ;1.688025E+00; { 1.88E-05 } ;6.796388E-01; { 2.67E-05 } ;6.510785E+01; { 1.26E-02 } ;1.150757E+01; { 5.06E-03 } ;1.575812E+01; { 6.64E-02 } ;-1.086030E+00; { 2.19E-03 } ;1.729143E-02; { 7.96E-06 } ;1.138171E+00; { 5.08E-04 } ;1.931820E+00; { 8.56E-04 } ;2.653664E+00; { 1.16E-03 } ;1.519270E+00; { 6.70E-04 } ;3.448317E+00; { 1.51E-03 } ;7.990407E-01; { 3.51E-04 } ;4.617456E+00; { 1.94E-02 } ;1.114066E+01; { 4.70E-02 } ;9.634555E-06; { 2.99E-06 } ;2.385949E-05; { 3.41E-06 } ;2.495527E-04; { 3.21E-06 } ;1.984322E-05; { 2.55E-07 } ;1.822197E-06; { 5.66E-07 } ;4.178730E-04; { 1.30E-04 } ;'NIST 10 ppb' run on 14 March 2017 at 15:35;;
3.025536E+00; { 7.69E-05 } ;1.333525E+00; { 2.97E-05 } ;2.329943E+00; { 5.16E-05 } ;1.696758E+00; { 1.96E-05 } ;7.006802E-01; { 2.71E-05 } ;6.593967E+01; { 1.11E-02 } ;2.960642E+00; { 7.98E-05 } ;1.311947E+00; { 3.42E-05 } ;2.304681E+00; { 6.17E-05 } ;1.687507E+00; { 2.12E-05 } ;6.783734E-01; { 2.51E-05 } ;6.521806E+01; { 1.07E-02 } ;1.097788E+01; { 3.64E-03 } ;1.569342E+01; { 5.43E-02 } ;-1.082544E+00; { 1.81E-03 } ;1.648039E-02; { 6.69E-06 } ;1.086742E+00; { 3.71E-04 } ;1.843933E+00; { 6.24E-04 } ;2.532052E+00; { 8.37E-04 } ;1.449196E+00; { 4.80E-04 } ;3.288003E+00; { 1.08E-03 } ;7.614719E-01; { 2.45E-04 } ;4.598585E+00; { 1.59E-02 } ;1.109484E+01; { 3.85E-02 } ;5.915303E-07; { 3.20E-06 } ;2.122669E-05; { 5.60E-06 } ;2.503407E-04; { 3.20E-06 } ;2.087835E-05; { 2.68E-07 } ;1.181378E-07; { 6.34E-07 } ;2.713078E-05; { 1.46E-04 } ;'Fluka 10ppb' run on 14 March 2017 at 15:49;;
3.030543E+00; { 6.87E-05 } ;1.335120E+00; { 2.66E-05 } ;2.331845E+00; { 6.47E-05 } ;1.697413E+00; { 1.87E-05 } ;7.023966E-01; { 2.12E-05 } ;6.588419E+01; { 1.40E-02 } ;2.965083E+00; { 6.21E-05 } ;1.313369E+00; { 2.67E-05 } ;2.306428E+00; { 6.77E-05 } ;1.688086E+00; { 1.78E-05 } ;6.798581E-01; { 2.50E-05 } ;6.515806E+01; { 1.38E-02 } ;1.142613E+01; { 3.74E-03 } ;1.563472E+01; { 5.78E-02 } ;-1.089913E+00; { 1.67E-03 } ;1.715509E-02; { 6.70E-06 } ;1.129911E+00; { 3.79E-04 } ;1.917898E+00; { 6.34E-04 } ;2.634814E+00; { 8.59E-04 } ;1.508549E+00; { 4.94E-04 } ;3.424186E+00; { 1.12E-03 } ;7.936248E-01; { 2.56E-04 } ;4.581153E+00; { 1.69E-02 } ;1.105357E+01; { 4.09E-02 } ;1.896552E-05; { 4.05E-06 } ;-5.730702E-05; { 9.78E-06 } ;2.651800E-04; { 3.08E-06 } ;2.121696E-05; { 2.45E-07 } ;3.618495E-06; { 7.73E-07 } ;8.305872E-04; { 1.77E-04 } ;'NIST 10ppb' run on 14 March 2017 at 16:01;;
3.026475E+00; { 4.99E-05 } ;1.333838E+00; { 2.05E-05 } ;2.330502E+00; { 5.70E-05 } ;1.696959E+00; { 1.91E-05 } ;7.009829E-01; { 1.95E-05 } ;6.586566E+01; { 1.50E-02 } ;2.960703E+00; { 5.88E-05 } ;1.311991E+00; { 2.33E-05 } ;2.304890E+00; { 5.64E-05 } ;1.687582E+00; { 1.93E-05 } ;6.783624E-01; { 2.07E-05 } ;6.513571E+01; { 1.50E-02 } ;1.086007E+01; { 3.05E-03 } ;1.573625E+01; { 4.47E-02 } ;-1.097959E+00; { 1.40E-03 } ;1.632063E-02; { 5.88E-06 } ;1.074838E+00; { 3.10E-04 } ;1.823954E+00; { 5.22E-04 } ;2.504900E+00; { 7.00E-04 } ;1.433664E+00; { 4.04E-04 } ;3.252948E+00; { 9.04E-04 } ;7.534443E-01; { 2.05E-04 } ;4.610660E+00; { 1.31E-02 } ;1.112559E+01; { 3.16E-02 } ;1.108129E-05; { 2.94E-06 } ;2.661196E-05; { 4.71E-06 } ;2.449469E-04; { 3.33E-06 } ;2.064018E-05; { 2.81E-07 } ;2.221121E-06; { 5.89E-07 } ;5.096634E-04; { 1.35E-04 } ;'Fluka 10ppb' run on 14 March 2017 at 16:14;;
3.026013E+00; { 5.37E-05 } ;1.333553E+00; { 2.44E-05 } ;2.330017E+00; { 5.70E-05 } ;1.696697E+00; { 1.72E-05 } ;7.008208E-01; { 1.96E-05 } ;6.583375E+01; { 1.27E-02 } ;2.966453E+00; { 8.78E-05 } ;1.313762E+00; { 2.91E-05 } ;2.306865E+00; { 6.21E-05 } ;1.688225E+00; { 1.90E-05 } ;6.803482E-01; { 3.08E-05 } ;6.517380E+01; { 1.24E-02 } ;1.127227E+01; { 1.04E-02 } ;1.522945E+01; { 6.62E-02 } ;-9.927994E-01; { 1.93E-03 } ;1.695029E-02; { 1.52E-05 } ;1.115826E+00; { 1.02E-03 } ;1.893232E+00; { 1.74E-03 } ;2.600916E+00; { 2.20E-03 } ;1.488620E+00; { 1.27E-03 } ;3.377869E+00; { 2.88E-03 } ;7.823165E-01; { 6.64E-04 } ;4.465452E+00; { 1.94E-02 } ;1.076400E+01; { 4.69E-02 } ;-2.376565E-05; { 2.74E-06 } ;-3.117538E-05; { 6.04E-06 } ;2.461979E-04; { 3.46E-06 } ;2.001983E-05; { 2.78E-07 } ;-4.575142E-06; { 5.28E-07 } ;-1.050911E-03; { 1.21E-04 } ;'NIST 10ppb' run on 14 March 2017 at 16:26;;
