Position;Measurement;DateTime;MethodName;ResultType;SampleName;DigestionRun;StandardType;SampleType;CoreID;Top;Bottom;Replicate;CalConc;CalGroup;As 189.042;Cd 214.438;Co 228.616;Cr 267.716;Cu 324.754;Fe 259.9_2;Fe 262.829;Mn 257.611;Ni 231.604;Pb 220.353;Sn 242.949;Ti 307.864;Ti 334.941;Zn 213.856
580;Single;10.03.17 15:40;sedi_metalle;RawInt;Sn 5.0 mg A;;;SnCal;;;;;5;1;13901;38088.1;67962.9;66169.7;183023;46872.9;44701.8;55694.8;80318.7;34587.3;237799;135652;202005;38942.7
579;Single;10.03.17 15:41;sedi_metalle;RawInt;Sn 5.0 mg A;;;SnCal;;;;;5;1;14196.3;37888.8;67961;65921.7;182785;46660.1;44410.8;55496.2;80100.9;34410.5;234140;135308;202020;38813.2
578;Single;10.03.17 15:42;sedi_metalle;RawInt;Sn 5.0 mg A;;;SnCal;;;;;5;1;14129.8;37894.6;67739;65862.5;182434;46536.6;44270.2;55353.1;80111.6;34452.3;239071;134895;200885;38637.9
577;Average;10.03.17 15:42;sedi_metalle;RawInt;Sn 5.0 mg A;;;SnCal;;;;;5;1;14075.7;37957.2;67887.6;65984.6;182747;46689.9;44460.9;55514.7;80177.1;34483.4;237003;135285;201637;38797.9
576;StdDev;10.03.17 15:42;sedi_metalle;RawInt;Sn 5.0 mg A;;;SnCal;;;;;5;1;154.905;113.429;128.724;162.983;296.301;170.115;220.124;171.6;122.775;92.403;2559.98;379.024;651.006;152.972
575;Single;10.03.17 15:37;sedi_metalle;RawInt;Sn 2.5 mg A;;;SnCal;;;;;2.5;1;14091.2;38215.8;67816.9;65859.6;182557;46974.2;44268.1;56314.7;80090.8;34418.9;158024;134852;201234;38776.9
574;Single;10.03.17 15:37;sedi_metalle;RawInt;Sn 2.5 mg A;;;SnCal;;;;;2.5;1;14196.6;38557.1;68352.6;66532.8;183640;47268.6;44598.9;56574.6;80717;34571.7;157689;135993;202727;38941.8
573;Single;10.03.17 15:38;sedi_metalle;RawInt;Sn 2.5 mg A;;;SnCal;;;;;2.5;1;14145.8;37647.7;67728.4;65983.9;182494;46532;44365.7;55340.4;80078.4;34283.2;158161;135038;201401;38227.6
572;Average;10.03.17 15:38;sedi_metalle;RawInt;Sn 2.5 mg A;;;SnCal;;;;;2.5;1;14144.5;38140.2;67966;66125.4;182897;46924.9;44410.9;56076.6;80295.4;34424.6;157958;135294;201787;38648.8
571;StdDev;10.03.17 15:38;sedi_metalle;RawInt;Sn 2.5 mg A;;;SnCal;;;;;2.5;1;52.711;459.389;337.746;358.222;644.227;370.763;169.969;650.648;365.169;144.334;242.823;612.169;818.048;373.944
