#ID	SampleName	Weight [mg]	Type	Date	Time
1	ZH16-11 01 0-0.5	95.1	Blank	09.03.2017	08:38
2	ZH16-11 06 2.5-3	96.6	Blank	09.03.2017	08:43
3	ZH16-11 11 5-5.5	97.3	Blank	09.03.2017	08:46
4	ZH16-11 13 6-6.5	100.4	Blank	09.03.2017	08:48
5	ZH16-11 15 7-7.5 1	99	Blank	09.03.2017	08:50
6	ZH16-11 15 7-7.5 2	95.1	Blank	09.03.2017	08:52
7	ZH16-11 15 7-7.5 3	96.2	Blank	09.03.2017	08:54
8	ZH16-11 17 8-8.5 1	99.2	Blank	09.03.2017	08:56
9	ZH16-11 17 8-8.5 2	97.8	Blank	09.03.2017	08:58
10	ZH16-11 17 8-8.5 3	92.3	Blank	09.03.2017	09:00
11	ZH16-11 19 9-9.5	93.2	Blank	09.03.2017	09:01
12	ZH16-11 21 10-10.5 1	94.1	Blank	09.03.2017	09:03
13	ZH16-11 21 10-10.5 2	101.6	Blank	09.03.2017	09:05
14	ZH16-11 21 10-10.5 3	102.6	Blank	09.03.2017	09:06
15	ZH16-11 23 11-11.5 1	106.4	Blank	09.03.2017	09:08
16	ZH16-11 23 11-11.5 2	95.3	Blank	09.03.2017	09:16
17	ZH16-11 23 11-11.5 3	96.4	Blank	09.03.2017	09:18
18	ZH16-11 25 12-12.5 1	96.6	Blank	09.03.2017	09:20
19	ZH16-11 25 12-12.5 2	100	Blank	09.03.2017	09:22
20	ZH16-11 25 12-12.5 3	96.1	Blank	09.03.2017	09:24
21	ZH16-11 27 13-13.5	99.1	Blank	09.03.2017	09:26
22	ZH16-11 29 14-14.5	100.6	Blank	09.03.2017	09:28
23	ZH16-11 31 15-15.5	98.1	Blank	09.03.2017	09:31
24	ZH16-11 36 17.5-18	98.7	Blank	09.03.2017	09:34
25	ZH16-11 41 20-20.5	98.2	Blank	09.03.2017	09:38
26	ZH16-11 25-25.5	100.1	Blank	09.03.2017	09:40
27	ZH16-11 30-30.5	108.7	Blank	09.03.2017	09:42
28	ZH16-11 35-35.5	103	Blank	09.03.2017	09:46
29	ZH16-11 40-40.5	101.4	Blank	09.03.2017	09:48
30	ZH16-11 45-45.5	100.1	Blank	09.03.2017	09:50
31	ZH16-11 50-50.5	95.8	Blank	09.03.2017	09:52
32	LKSD-2_1	97.3	Blank	09.03.2017	09:54
33	LKSD-2_2	94	Blank	09.03.2017	09:56
34	LKSD-3_1	104.2	Blank	09.03.2017	09:58
35	LKSD-3_2	100.3	Blank	09.03.2017	09:59
36	Lake Sediment 1	96.5	Blank	09.03.2017	10:01
37	Lake Sediment 2	94.6	Blank	09.03.2017	10:04
38	Channel Sediment 1	95.6	Blank	09.03.2017	10:05
39	Channel Sediment 2	97.5	Blank	09.03.2017	10:07
