SampleID;top;bottom
AW13-16_01;0;1
AW13-16_02;1;2
AW13-16_03;2;3
AW13-16_04;3;4
AW13-16_05;4;5
AW13-16_06;5;6
AW13-16_07;6;7
AW13-16_08;7;8
AW13-16_09;8;9
AW13-16_10;9;10
AW13-16_11;10;11
AW13-16_12;11;12
AW13-16_13;12;13
AW13-16_14;13;14
AW13-16_15;14;15
AW13-16_16;15;16
AW13-16_17;16;17
AW13-16_18;17;18
AW13-16_19;18;19
AW13-16_20;19;20
AW13-16_21;20;21
AW13-16_22;21;22
AW13-16_23;22;23
AW13-16_24;23;24
AW13-16_25;24;25
AW13-16_26;25;26
AW13-16_27;26;27
AW13-16_28;27;28
AW13-16_29;28;29
AW13-16_30;29;30
AW13-16_31;30;31
AW13-16_32;31;32
AW13-16_33;32;33
AW13-16_34;33;34
AW13-16_35;34;35
AW13-16_36;35;36
AW13-16_37;36;37
AW13-16_38;37;38
AW13-16_39;38;39
AW13-16_40;39;40
AW13-16_41;40;41
AW13-16_42;41;42
AW13-16_43;42;43
AW13-16_44;43;44
AW13-16_45;44;45
AW13-16_46;45;46
AW13-16_47;46;47
AW13-16_48;47;48
AW13-16_49;48;49
AW13-16_50;49;50
