SampleID;K-40;2s err;Cs-137;2s err;Pb-210;2s err;Ra-226;2s err
ZH16-11_01;0.2494;11;0.0363;5.8;0.2405;6.5;0.01417;16
ZH16-11_02;;;;;;;;
ZH16-11_03;0.2482;8.7;0.05072;4;0.07372;8.5;0.01097;20
ZH16-11_04;0.3683;10;0.06114;4.9;0.08384;12;0.0128;22
ZH16-11_05;0.2516;11;0.05783;4.7;0.05268;18;0.01534;16
ZH16-11_06;0.3242;11;0.05269;4.6;0.05324;8.9;0.01301;18
ZH16-11_07;0.3031;13;0.03622;6.4;0.06305;17;0.01603;18
ZH16-11_08;0.2079;12;0.005586;19;0.03636;23;0.01686;16
ZH16-11_09;0.2496;8.5;0.005304;24;0.02982;18;0.01518;11
ZH16-11_10;;;;;;;;
ZH16-11_11;0.3075;8.7;0.002502;51;0.03928;11;0.02612;13
ZH16-11_12;;;;;;;;
ZH16-11_13;0.416;12;;;0.02691;40;0.02563;20
ZH16-11_14;;;;;;;;
ZH16-11_15;0.2613;8.7;;;0.02316;24;0.01704;15
ZH16-11_16;;;;;;;;
ZH16-11_17;;;;;;;;
ZH16-11_18;;;;;;;;
ZH16-11_19;;;;;;;;
ZH16-11_20;;;;;;;;
ZH16-11_21;;;;;;;;
ZH16-11_22;0.5158;9;0.001049;170;0.03737;12;0.02842;15
ZH16-11_23;;;;;;;;
ZH16-11_24;;;;;;;;
ZH16-11_25;;;;;;;;
ZH16-11_26;;;;;;;;
ZH16-11_27;;;;;;;;
ZH16-11_28;;;;;;;;
ZH16-11_29;;;;;;;;
ZH16-11_30;0.5369;6.5;0.0006398;160;0.03192;30;0.03099;10
ZH16-11_31;;;;;;;;
ZH16-11_32;;;;;;;;
ZH16-11_33;;;;;;;;
ZH16-11_34;;;;;;;;
ZH16-11_35;;;;;;;;
ZH16-11_36;0.507;6.5;;;0.02169;20;0.02098;17
ZH16-11_37;;;;;;;;
ZH16-11_38;;;;;;;;
ZH16-11_39;;;;;;;;
ZH16-11_40;0.6563;5.2;;;0.02188;20;0.01936;7.8
