Name,CoreID,Top,Bottom,Type,C,H,N,S,Exclude
Sulfamethazine,,,,Standard,52.95,4.717,18.45,11.65,FALSE
Sulfamethazine,,,,Standard,52.85,4.680,17.21,11.65,FALSE
Sulfamethazine,,,,Standard,52.38,4.736,17.19,11.45,FALSE
A16Hg1,AW-13-16,43,44,Sample,22.72,2.875,-0.322,0.308,TRUE
A16Hg1,AW-13-16,43,44,Sample,23.49,2.763,-2.511,0.192,FALSE
Z10Hg99,ZH-16-10,20,20.5,Sample,9.751,0.667,-0.466,0.049,FALSE
Z10Hg99,ZH-16-10,20,20.5,Sample,9.650,0.654,-0.952,0.031,FALSE
Z11Hg1,ZH-16-11,0,0.5,Sample,11.98,0.749,-0.689,0.114,FALSE
Z11Hg1,ZH-16-11,0,0.5,Sample,11.95,0.744,-0.705,0.041,FALSE
A16Hg1,AW-13-16,43,44,Sample,23.54,2.809,-2.494,0.580,FALSE
