FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Al_Area ;Al_ DArea ;Al_ ChiSqr;Si_Area ;Si_ DArea ;Si_ ChiSqr;P_Area ;P_ DArea ;P_ ChiSqr;S_Area ;S_ DArea ;S_ ChiSqr;Cl_Area ;Cl_ DArea ;Cl_ ChiSqr;K_Area ;K_ DArea ;K_ ChiSqr;Ca_Area ;Ca_ DArea ;Ca_ ChiSqr;Rh_Area ;Rh_ DArea ;Rh_ ChiSqr
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   45.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;38;23/01/2017 20:57:30;;45;;273;109;0.4;51108;271;1.1;-254;135;0.4;17372;261;10.4;24018;1206;1.7;-3406;317;1.3;60391;432;1.9;253049;1354;2.2
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   50.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;37;23/01/2017 20:58:19;;50;;448;103;0.5;50256;266;2.6;-164;131;0.6;22711;264;14.4;18196;1045;2;-2998;307;1.9;63565;426;1.5;222556;1225;1
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   55.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;38;23/01/2017 20:59:07;;55;;775;115;0.7;63868;299;2.2;-238;156;1.3;15206;244;8.8;17277;701;1.6;2006;320;7.7;712789;900;4.2;169209;949;1.7
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   60.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;23/01/2017 20:59:56;;60;;885;134;0.8;75758;331;2.5;38;189;2.9;13021;252;17;17566;733;5.5;9561;380;13.3;1553797;1277;13.5;184672;1004;5.1
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   65.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;43;23/01/2017 21:00:49;;65;;985;142;1.1;81207;344;2.5;-427;200;3.2;15170;269;13.3;21851;778;5;10708;394;12.6;1832488;1378;16;206335;1060;8.3
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   70.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;40;23/01/2017 21:01:44;;70;;881;129;1.1;72750;322;2.7;-487;177;1.6;12271;247;14.6;18926;711;3.4;7096;359;11.2;1287668;1170;11.1;173132;969;4.2
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   75.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;41;23/01/2017 21:02:36;;75;;745;127;0.9;62697;305;1.5;-387;176;3;14241;255;7.6;19020;773;3;7339;370;10.2;1216759;1148;13.1;197035;1041;4
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   80.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;40;23/01/2017 21:03:28;;80;;636;124;1.8;66946;310;2.2;-687;168;1.2;14558;255;8.8;19304;756;3.9;6864;364;9.1;992926;1052;9.9;197564;1023;4.7
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   85.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;38;23/01/2017 21:04:19;;85;;783;116;0.4;64124;300;1.3;-613;152;1.6;18204;255;2.9;19855;758;1.6;5260;337;5.8;531675;809;3.6;196855;1017;3
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   90.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;37;23/01/2017 21:05:08;;90;;847;105;0.8;58561;282;0.9;102;138;1.5;16568;240;9.8;17102;708;3.9;220;307;5.7;307389;651;2;170394;946;1.6
