FileName;LiveTime;RealTime;MeasurementDate;MeasurementTime;Sample_ID;User_ID;Ti_Area;Ti_ DArea;Ti_ ChiSqr;V_Area;V_ DArea;V_ ChiSqr;Cr_Area;Cr_ DArea;Cr_ ChiSqr;Mn_Area;Mn_ DArea;Mn_ ChiSqr;Fe_Area;Fe_ DArea;Fe_ ChiSqr
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   45.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;38;23/01/2017 20:57:30;;45;;2017;704;0.7;-1074;564;1.7;4420;466;1.2;1449;485;0.4;8542;511;1.8
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   50.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;37;23/01/2017 20:58:19;;50;;2448;689;0.3;-418;550;1.7;4033;444;1.8;1750;462;0.8;9648;492;1
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   55.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;38;23/01/2017 20:59:07;;55;;2447;514;1;1577;410;3.2;5520;369;3.3;1938;377;0.2;67954;522;1.4
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   60.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;23/01/2017 20:59:56;;60;;6196;524;0.9;1665;413;1.5;5815;373;2.6;2095;380;0.4;135760;586;1.6
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   65.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;43;23/01/2017 21:00:49;;65;;8266;541;1.2;1206;425;1.5;7415;385;2.9;1689;390;0.5;147920;605;1.9
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   70.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;40;23/01/2017 21:01:44;;70;;4890;510;1.3;2468;406;2;9240;373;2.9;1888;374;0.2;139035;582;1.8
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   75.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;41;23/01/2017 21:02:36;;75;;5326;540;1.3;1657;427;1.2;6782;386;1.9;2061;392;0.6;131173;594;1.3
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   80.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;40;23/01/2017 21:03:28;;80;;8474;546;1.2;2185;430;1;8343;391;2.4;2613;395;0.2;161837;621;1.4
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   85.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;38;23/01/2017 21:04:19;;85;;5058;540;2.3;2303;429;1.6;7890;393;2.8;2180;398;0.9;153462;620;1.3
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   90.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;37;23/01/2017 21:05:08;;90;;2631;523;1.6;2115;418;1.6;6752;381;2.3;2197;386;1.2;147319;605;1.2
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16   95.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;37;23/01/2017 21:05:56;;95;;1740;527;0.4;1034;418;0.7;4202;375;1.7;760;382;0.4;115835;578;0.7
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16  100.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;38;23/01/2017 21:06:44;;100;;4415;573;1.2;1002;454;1.1;6370;409;1.3;2644;418;0.3;150180;638;1.1
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16  105.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;39;23/01/2017 21:07:33;;105;;7094;568;1;1108;446;1.1;7932;406;1.6;3016;412;0.3;194186;662;0.7
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 1 at  10kV\AW-13-16  110.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;38;23/01/2017 21:08:24;;110;;5047;534;1.5;2044;422;2.3;6527;380;2.1;1642;384;0.4;175669;624;2.1
