FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ni_Area ;Ni_ DArea ;Ni_ ChiSqr;Cu_Area ;Cu_ DArea ;Cu_ ChiSqr;Zn_Area ;Zn_ DArea ;Zn_ ChiSqr;Ga_Area ;Ga_ DArea ;Ga_ ChiSqr;Br_Area ;Br_ DArea ;Br_ ChiSqr;Rb_Area ;Rb_ DArea ;Rb_ ChiSqr;Sr_Area ;Sr_ DArea ;Sr_ ChiSqr;Y_Area ;Y_ DArea ;Y_ ChiSqr;Zr_Area ;Zr_ DArea ;Zr_ ChiSqr;Nb_Area ;Nb_ DArea ;Nb_ ChiSqr;Mo_Area ;Mo_ DArea ;Mo_ ChiSqr;Hg_Area ;Hg_ DArea ;Hg_ ChiSqr;Pb_Area ;Pb_ DArea ;Pb_ ChiSqr;Bi_Area ;Bi_ DArea ;Bi_ ChiSqr
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 2 at  30kV\AW-13-16   45.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;95;23/01/2017 22:55:10;;45;;99;3;0.3;3286;4;1.4;8919;7;3.7;-206;8;0.3;6287;22;1.9;10540;29;1.3;32424;31;1.2;12454;33;1.9;9004;34;1.2;1095;34;0.7;-6641;35;1.4;962;11;0.5;5316;14;1.5;3303;15;1.5
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 2 at  30kV\AW-13-16   50.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;85;23/01/2017 22:56:56;;50;;185;86;0.4;4642;132;0.4;14948;209;3.3;-47;229;0.6;4904;635;1.3;8368;816;1.6;31308;897;1.1;10618;931;2.1;7453;958;1.1;3185;975;1.3;-1405;987;1.1;782;317;0.6;5809;403;1.2;3472;443;2
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 2 at  30kV\AW-13-16   55.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;63;23/01/2017 22:58:33;;55;;455;2;0.4;6660;4;0.5;159885;13;1.9;-378;6;1.4;4963;15;1;6289;19;0.7;66917;22;0.7;6575;22;1;11082;23;0.8;3578;23;0.8;785;23;0.6;730;8;0.6;15701;10;1.4;1822;11;1.4
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 2 at  30kV\AW-13-16   60.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;66;23/01/2017 22:59:48;;60;;1023;91;2.5;13314;160;1;332547;586;4.8;-641;189;2.7;5781;474;0.5;10170;571;0.5;119874;795;0.4;7187;650;0.9;19021;695;0.9;2434;679;0.7;2026;802;0.6;1000;251;0.7;32914;335;2.2;1081;319;0.9
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 2 at  30kV\AW-13-16   65.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;72;23/01/2017 23:01:07;;65;;1346;98;2.3;11749;159;1.7;417731;653;6.1;-1263;198;3.6;6659;495;0.9;9775;597;0.7;132284;834;0.3;7526;680;1.4;14548;722;1.2;3518;712;0.7;632;844;0.6;1161;261;0.6;37744;351;2.1;1486;332;0.7
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 2 at  30kV\AW-13-16   70.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;68;23/01/2017 23:02:30;;70;;1190;93;0.8;9938;154;1.4;542314;733;7.9;-617;196;3.9;5930;481;0.3;9345;576;0.6;111714;787;0.9;8253;658;2.3;22924;707;0.6;4170;687;0.7;1822;810;0.7;1505;254;0.9;38240;345;2.1;1145;322;1.2
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 2 at  30kV\AW-13-16   75.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;69;23/01/2017 23:03:49;;75;;1238;91;0.7;9037;148;1.5;457064;679;6.9;-833;199;5;4287;486;0.8;10279;586;0.5;116545;795;0.6;10717;667;2.3;28049;720;1;3042;696;0.8;1852;825;0.5;1012;257;1;47970;361;3.1;1629;329;1.1
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 2 at  30kV\AW-13-16   80.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;69;23/01/2017 23:05:09;;80;;1234;94;0.8;29131;210;1.6;535643;733;7;-1733;206;8.4;3929;486;1.3;12262;585;0.7;108578;771;1;9661;662;1.6;31898;715;0.8;3072;687;0.5;2611;808;0.6;874;260;0.7;70620;391;3.4;1551;333;0.7
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 2 at  30kV\AW-13-16   85.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;23/01/2017 23:06:29;;85;;1054;95;0.5;25209;206;1.9;757215;862;15.8;-1530;220;11.5;5452;503;1.1;9883;604;0.6;77572;750;1.8;10061;683;2.8;16094;714;1;3127;705;0.6;1906;814;0.6;492;267;1;81840;418;6.7;1634;347;1.1
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 2 at  30kV\AW-13-16   90.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;75;23/01/2017 23:07:53;;90;;1085;97;1;10008;164;2.7;1136688;1041;22.5;641;224;19.9;6522;505;0.3;5371;600;0.4;47189;706;1.4;10466;686;2;9173;706;1.4;2506;706;0.5;1271;800;0.4;591;265;1.6;71230;409;4.4;2101;346;1
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 2 at  30kV\AW-13-16   95.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;79;23/01/2017 23:09:21;;95;;1149;94;0.2;6566;150;1.4;921920;944;12.8;685;219;8.2;4965;527;0.8;5765;639;0.7;36149;742;1.6;8699;733;1.5;10051;760;1;4454;763;0.9;1522;873;0.5;661;271;1;32925;368;1.5;2233;355;1.2
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 2 at  30kV\AW-13-16  100.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;82;23/01/2017 23:10:53;;100;;1256;102;1.2;12992;179;2.4;1264896;1099;28.6;-84;238;25.8;5918;525;1;9067;626;0.7;59510;744;2.3;10580;712;1.6;16853;743;0.8;3898;737;1;306;838;0.7;884;277;1.9;78984;425;4.8;2328;359;1.5
