FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ag_Area ;Ag_ DArea ;Ag_ ChiSqr;Cd_Area ;Cd_ DArea ;Cd_ ChiSqr;Sn_Area ;Sn_ DArea ;Sn_ ChiSqr;Te_Area ;Te_ DArea ;Te_ ChiSqr;Ba_Area ;Ba_ DArea ;Ba_ ChiSqr
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 3 at  50kV\AW-13-16   45.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;24/01/2017 03:03:50;;45;;726699;820;4.1;353;71;0.5;5084;185;13.8;292;58;0.5;2592;120;0.9
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 3 at  50kV\AW-13-16   50.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;24/01/2017 03:04:35;;50;;719426;815;3.9;288;69;0.4;4860;181;16;293;54;0.5;2370;115;0.4
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 3 at  50kV\AW-13-16   55.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;24/01/2017 03:05:19;;55;;708386;808;4.6;234;66;0.4;4426;172;16.5;254;45;0.7;1734;98;0.8
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 3 at  50kV\AW-13-16   60.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;24/01/2017 03:06:03;;60;;717134;813;4.4;262;69;0.5;5289;178;14.4;332;50;0.6;1058;105;0.6
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 3 at  50kV\AW-13-16   65.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;24/01/2017 03:06:48;;65;;723019;817;3.8;215;69;0.6;5063;180;13.2;352;51;0.4;1151;107;0.9
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 3 at  50kV\AW-13-16   70.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;24/01/2017 03:07:32;;70;;729781;821;3.9;380;69;0.3;5473;182;13.6;322;49;0.7;911;103;0.5
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 3 at  50kV\AW-13-16   75.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;24/01/2017 03:08:17;;75;;725922;819;3.8;300;69;0.5;5328;181;13.6;311;50;0.4;1212;106;0.7
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 3 at  50kV\AW-13-16   80.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;24/01/2017 03:09:01;;80;;719155;814;3.5;307;70;0.5;5540;180;14.2;359;50;0.5;1379;108;0.8
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 3 at  50kV\AW-13-16   85.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;24/01/2017 03:09:46;;85;;713998;811;4.4;477;69;0.9;5801;180;14.9;339;49;0.8;1016;103;0.5
e:\XRF_Data\Nathalie Dubois\AWEL2017\AW-13-16\Run 3 at  50kV\AW-13-16   90.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;24/01/2017 03:10:30;;90;;699767;804;3.9;477;70;0.7;5066;175;14.5;212;47;0.8;781;96;0.6
