FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ti_Area ;Ti_ DArea ;Ti_ ChiSqr;V_Area ;V_ DArea ;V_ ChiSqr;Cr_Area ;Cr_ DArea ;Cr_ ChiSqr;Mn_Area ;Mn_ DArea ;Mn_ ChiSqr;Fe_Area ;Fe_ DArea ;Fe_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   45.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;35;03.01.17 12:15;;45;;-251;783;0.8;1664;622;1.9;7344;447;2.1;2152;455;1.2;5142;461;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   50.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;37;03.01.17 12:15;;50;;48;561;0.9;185;448;1.7;5538;405;2;2006;415;1;41413;534;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   55.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;03.01.17 12:16;;55;;4972;515;1.4;1260;408;1.4;7759;375;3.7;1259;379;0.8;119612;571;1.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   60.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;43;03.01.17 12:17;;60;;7967;524;0.8;966;413;1.7;7640;377;3.2;949;382;0.5;144903;597;2.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   65.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;43;03.01.17 12:18;;65;;10363;532;1.1;1191;415;1.4;9452;379;3.1;3378;386;0.3;170230;619;1.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   70.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 12:19;;70;;14678;541;1;1233;420;1.3;8444;382;2.6;1872;389;0.4;202241;647;3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   75.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 12:20;;75;;16951;538;1.1;1708;417;1.1;8484;378;3;2582;387;0.7;230810;667;3.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   80.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 12:21;;80;;32267;550;1.3;2064;416;1;8874;378;3.1;4508;390;0.5;285643;705;2.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   85.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 12:22;;85;;33585;560;0.8;1725;422;0.7;8629;381;5.1;5247;394;0.8;308644;721;4.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   90.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;43;03.01.17 12:23;;90;;29111;569;1.9;2024;434;1.2;8183;392;3.2;4070;404;0.3;286005;717;2.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   95.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;39;03.01.17 12:24;;95;;7241;583;0.8;1291;459;0.5;5794;416;0.9;3635;428;0.6;159190;654;1.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  100.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;03.01.17 12:24;;100;;8912;561;0.7;946;441;1.3;6186;400;2.6;1979;411;0.2;163908;642;1.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  105.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 12:25;;105;;16673;544;1.6;760;420;0.5;7768;383;2.7;1752;391;0.4;202809;649;4.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  110.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 12:26;;110;;19092;550;0.9;1447;425;0.9;13348;394;3.7;2810;396;0.3;242611;683;2.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  115.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 12:27;;115;;14638;542;0.8;1137;422;0.8;14853;395;2.1;2291;394;0.7;224904;668;2.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  120.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 12:28;;120;;16450;546;0.5;1571;423;1.2;19238;399;3.9;4328;396;0.6;235783;674;3.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  125.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 12:29;;125;;16389;548;1.1;1217;424;0.7;19994;403;2.6;3354;398;0.5;263527;696;3.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  130.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 12:30;;130;;16594;550;1.2;1328;427;1.1;20255;405;3.2;3556;400;0.3;292654;718;2.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  135.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;03.01.17 12:31;;135;;15198;553;0.7;1502;430;1.2;21217;410;2.6;3911;404;0.4;284309;716;2.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  140.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 12:32;;140;;17141;546;1.1;1490;425;1.4;8642;387;2.5;3524;396;0.5;238247;681;2.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  145.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 12:33;;145;;17869;541;1.6;846;418;2.1;7228;380;4.7;3824;391;0.6;229995;667;3.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  150.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 12:34;;150;;16782;538;1.3;1377;416;1.3;8216;379;3.6;3716;390;0.2;226607;665;3.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  155.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 12:35;;155;;20234;542;0.7;1339;419;1.3;8072;382;4.1;2565;391;0.7;246992;682;4.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  160.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 12:36;;160;;20444;549;0.6;1225;423;1;7238;383;2.9;3038;393;0.7;284685;709;3.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  165.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 12:37;;165;;17887;550;1.5;1721;425;0.4;7023;385;2.8;2964;395;0.3;240298;680;2.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  170.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 12:38;;170;;17705;541;2.1;1002;418;1.3;7754;381;4.4;2476;392;0.5;233306;673;3.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  175.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;47;03.01.17 12:39;;175;;16825;537;1.1;1580;416;0.9;8362;379;6;2058;388;0.4;209128;652;4.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  180.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;47;03.01.17 12:40;;180;;14615;531;1.2;1307;414;1.8;8945;378;4;2300;386;0.5;205587;646;5.1
