FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ni_Area ;Ni_ DArea ;Ni_ ChiSqr;Cu_Area ;Cu_ DArea ;Cu_ ChiSqr;Zn_Area ;Zn_ DArea ;Zn_ ChiSqr;Ga_Area ;Ga_ DArea ;Ga_ ChiSqr;Br_Area ;Br_ DArea ;Br_ ChiSqr;Rb_Area ;Rb_ DArea ;Rb_ ChiSqr;Sr_Area ;Sr_ DArea ;Sr_ ChiSqr;Y_Area ;Y_ DArea ;Y_ ChiSqr;Zr_Area ;Zr_ DArea ;Zr_ ChiSqr;Nb_Area ;Nb_ DArea ;Nb_ ChiSqr;Mo_Area ;Mo_ DArea ;Mo_ ChiSqr;Hg_Area ;Hg_ DArea ;Hg_ ChiSqr;Pb_Area ;Pb_ DArea ;Pb_ ChiSqr;Bi_Area ;Bi_ DArea ;Bi_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12   45.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;82;04.01.17 19:57;;45;;168;3;0.4;7414;5;3.6;671;5;0.6;-106;8;0.4;5990;21;2.2;9758;27;2;16420;29;2;11084;30;2.1;5063;31;1.3;3629;32;0.7;1868;32;0.4;875;10;0.6;5207;13;2;4127;15;2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12   50.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;79;04.01.17 19:59;;50;;417;3;0.5;7938;5;0.9;5842;6;0.8;-196;7;0.6;6075;19;1.1;9305;24;0.7;50748;27;0.7;9461;28;1.3;8378;28;0.8;-2220;29;1.4;-1525;29;0.7;694;9;0.3;5817;12;1.2;2698;13;1.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12   55.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;65;04.01.17 20:00;;55;;1307;90;2.2;7373;134;0.6;14163;188;0.5;29;175;0.4;5087;487;0.6;9521;598;0.9;96834;821;1;5258;686;1;10657;725;0.7;-989;904;0.5;-892;866;0.9;729;248;1;7269;305;0.8;1923;326;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12   60.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;63;04.01.17 20:02;;60;;1040;88;3.1;7717;134;0.6;19317;202;0.9;-189;173;0.6;4357;480;1.1;9172;590;0.6;96622;808;0.7;6096;675;0.9;10835;711;0.4;421;857;0.7;1704;877;1.4;634;246;0.2;8657;304;0.6;1918;323;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12   65.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;63;04.01.17 20:03;;65;;1228;90;3;8446;138;0.7;23109;213;0.7;-94;174;0.6;4112;476;0.6;9264;584;0.7;97557;805;0.6;5417;667;0.8;10116;704;0.8;1119;830;0.7;-464;861;1.4;812;247;0.3;9945;304;0.4;1326;319;0.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12   70.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;63;04.01.17 20:04;;70;;1303;3;2.5;8712;4;0.6;25142;7;0.5;-43;5;0.4;4161;14;0.7;9609;18;0.4;95811;22;0.7;5046;21;0.8;10797;22;0.5;1232;22;1;-1234;23;1.1;815;7;0.4;11070;9;1;1591;10;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12   75.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;62;04.01.17 20:05;;75;;1369;3;2.3;8834;4;1;30426;7;0.5;-413;5;0.5;3649;14;0.7;9057;18;0.6;97859;22;0.9;6470;21;0.7;11138;22;0.4;1063;22;0.6;1188;22;1.2;1097;7;0.5;12129;9;0.9;1362;10;1.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12   80.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;61;04.01.17 20:07;;80;;1506;89;4.2;8453;134;0.7;33782;236;0.9;-515;172;0.5;4410;468;0.9;10919;576;0.5;99227;777;0.9;6147;658;0.7;10401;694;1.1;1314;766;0.6;218;868;0.9;698;242;0.7;13009;303;1.1;2311;316;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12   85.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;60;04.01.17 20:08;;85;;1205;3;4;8583;4;0.8;27657;7;0.7;-385;5;0.3;3305;14;1.4;7337;17;0.8;91974;21;1.1;6853;20;1;9366;21;0.6;415;21;0.8;377;22;1.1;1176;7;0.6;12035;9;0.9;1883;10;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12   90.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;60;04.01.17 20:09;;90;;1284;89;4.8;7732;132;0.8;27874;224;0.4;-325;170;0.9;2695;461;0.9;8112;565;0.3;87127;770;0.9;7346;646;1.1;9539;679;0.5;679;761;0.7;280;839;0.8;985;240;0.4;12281;300;1;1515;311;0.8
