FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ag_Area ;Ag_ DArea ;Ag_ ChiSqr;Cd_Area ;Cd_ DArea ;Cd_ ChiSqr;Sn_Area ;Sn_ DArea ;Sn_ ChiSqr;Te_Area ;Te_ DArea ;Te_ ChiSqr;Ba_Area ;Ba_ DArea ;Ba_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13   45.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:03;;45;;715467;813;3.6;302;69;0.6;5059;180;13.2;296;54;0.6;2711;117;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13   50.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:04;;50;;706416;807;4.2;211;65;0.6;4732;176;15.6;353;49;0.4;1649;103;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13   55.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:05;;55;;699957;803;3.4;173;65;0.5;4760;170;13.7;282;43;0.8;719;92;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13   60.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:05;;60;;700370;802;3.9;206;64;0.4;4257;167;14.6;165;42;0.5;881;87;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13   65.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:06;;65;;698062;801;4.1;186;64;0.5;4327;168;13.7;250;42;0.8;489;85;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13   70.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:07;;70;;697921;801;4.2;130;65;0.3;4109;166;15.3;209;41;0.4;585;85;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13   75.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:08;;75;;696941;800;4.4;251;63;0.9;4345;165;13.8;180;42;0.6;514;85;0.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13   80.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:08;;80;;698709;801;4.3;190;64;0.4;4151;166;13.4;295;41;0.6;680;83;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13   85.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:09;;85;;701474;803;4.1;204;65;0.5;4386;166;15.3;262;40;0.7;755;83;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13   90.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:10;;90;;702012;803;4.1;131;64;0.4;4134;165;13.9;218;41;0.5;573;82;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13   95.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:11;;95;;705219;805;4.1;130;64;0.4;4332;166;15.8;274;41;0.8;500;82;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  100.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:11;;100;;709476;807;4.9;150;64;0.4;4485;167;15.9;161;41;0.5;670;84;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  105.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:12;;105;;709290;808;4.8;151;64;0.3;4480;168;14.5;236;43;1.3;620;87;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  110.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:13;;110;;710003;809;3.9;226;65;0.6;4913;171;14.8;357;44;0.6;614;90;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  115.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:14;;115;;713277;810;5;315;65;0.7;5018;174;15.4;190;45;0.4;751;92;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  120.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:14;;120;;713356;811;4;121;66;0.8;5648;175;15.2;286;46;0.6;745;94;0.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  125.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:15;;125;;709392;809;3.3;186;67;0.5;6182;180;12.8;306;48;0.4;922;100;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  130.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:16;;130;;709121;810;3.4;146;67;0.3;6654;184;14;225;49;0.6;766;102;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  135.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:16;;135;;706887;808;4.1;166;67;0.5;6724;185;15.8;346;51;0.4;792;105;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  140.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:17;;140;;708460;810;3.7;256;67;0.5;7624;188;14.4;268;51;0.7;886;107;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  145.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:18;;145;;706407;808;3.7;156;67;0.7;8051;189;13.1;370;52;0.4;925;106;0.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  150.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:19;;150;;706607;809;3.7;102;69;0.6;8268;191;13.7;270;52;0.5;1156;107;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  155.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:20;;155;;707021;808;4.3;276;67;0.6;6176;184;16;358;53;0.4;1406;110;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  160.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:20;;160;;706249;808;3.4;264;68;0.6;5653;181;14;457;53;1;1255;110;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  165.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:21;;165;;704872;807;4.7;159;66;0.7;5206;179;14.7;412;53;0.5;1175;108;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  170.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:22;;170;;703867;806;3.7;177;67;0.5;5628;180;13.8;333;51;0.8;980;107;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  175.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:23;;175;;703085;806;4.4;137;66;0.7;5473;179;14.1;419;52;0.8;1148;107;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  180.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:23;;180;;706206;807;3.5;218;67;0.7;5295;178;14.1;296;51;0.5;1140;107;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  185.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:24;;185;;706353;808;4.2;168;67;0.3;4722;178;12.5;342;52;0.3;1210;109;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  190.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:25;;190;;706295;807;3.8;117;67;0.4;4689;176;15.3;475;52;0.4;1289;109;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  195.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:26;;195;;707038;808;4.2;111;66;0.4;4949;178;12.8;313;52;0.7;1253;111;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  200.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:26;;200;;706423;808;3.3;194;65;0.5;5003;178;12.7;341;51;0.7;1394;111;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  205.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:27;;205;;708068;809;4.2;252;67;0.6;5116;179;14.7;602;52;0.6;1405;111;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  210.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:28;;210;;707076;808;4;208;67;0.7;5213;180;15.5;423;52;0.9;1536;112;0.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  215.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:28;;215;;706247;808;3.6;129;69;0.6;4884;180;14;352;53;0.7;1361;113;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  220.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:29;;220;;709043;809;3.4;192;66;0.5;5260;181;13.4;381;54;0.4;1517;114;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  225.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:30;;225;;709473;810;4.4;194;67;0.5;5091;180;14.6;402;54;0.7;1664;114;0.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  230.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:31;;230;;709582;809;3.6;169;67;0.4;4739;179;16.3;355;52;0.7;1559;113;0.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  235.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:31;;235;;711974;811;3.9;116;67;0.4;5091;182;14.3;368;54;0.8;1793;115;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  240.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:32;;240;;711330;811;4;220;68;0.7;5518;181;13.1;435;53;0.6;1268;115;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  245.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:33;;245;;710164;810;4.9;138;67;0.6;4893;181;13.4;314;54;0.6;1488;113;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  250.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:34;;250;;710426;810;3.8;155;68;0.4;5221;181;13.5;446;54;0.6;1702;115;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  255.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:34;;255;;710861;810;3.7;285;67;0.4;5041;181;14.2;366;54;0.5;1532;112;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  260.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:35;;260;;711800;811;3.7;270;67;0.7;4973;180;16.2;355;53;0.8;1627;112;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  265.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:36;;265;;709877;810;3.8;105;67;0.4;5126;181;12.9;356;54;1;1461;112;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  270.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:37;;270;;710515;810;3.6;166;67;0.8;5077;180;14.4;258;53;0.8;1253;112;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  275.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:37;;275;;708654;809;3.6;160;68;0.5;4794;180;13.9;353;54;0.5;1496;112;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  280.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:38;;280;;708508;809;4.2;187;67;0.5;4914;179;12.6;326;52;0.6;1289;113;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  285.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:39;;285;;707935;809;3.8;148;68;0.8;5238;181;12.6;341;52;0.8;1600;112;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  290.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:40;;290;;709169;809;4.1;168;66;0.6;5032;180;14.5;334;53;0.7;1572;110;0.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  295.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:40;;295;;709595;809;4.7;255;67;0.4;5139;180;14.3;381;51;0.8;1670;112;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  300.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:41;;300;;709569;809;4;163;66;0.7;4926;179;14.2;408;52;0.7;1668;112;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  305.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:42;;305;;708546;809;3.6;240;67;0.5;5003;179;12.2;317;52;0.5;1607;111;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  310.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:43;;310;;707469;808;3.8;108;67;0.3;4890;177;14.1;309;52;0.8;1620;110;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  315.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:43;;315;;708105;808;3.8;211;67;0.6;4915;179;13.3;413;51;0.5;1634;111;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  320.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:44;;320;;709251;809;4.8;217;66;0.7;4987;179;14.7;423;52;0.5;1546;110;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  325.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:45;;325;;710383;810;3.8;237;68;0.5;4747;179;14.7;264;53;0.5;1287;111;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  330.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:46;;330;;707953;808;3.5;170;67;0.4;4795;179;13.6;349;51;0.7;1348;111;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  335.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:46;;335;;708515;808;4.5;201;66;0.7;5053;179;15.7;323;52;0.5;1493;111;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  340.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:47;;340;;710457;810;3.4;254;67;0.5;5079;181;11.6;529;52;0.6;1438;112;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  345.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:48;;345;;708217;809;3.9;145;68;0.5;5096;179;13.7;368;52;0.6;1587;111;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  350.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:49;;350;;708909;809;4.1;231;67;0.6;5272;181;14.2;406;53;0.7;1320;111;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  355.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:49;;355;;706282;807;4.9;199;67;0.6;4930;179;15.4;376;52;0.5;1533;111;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  360.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:50;;360;;707290;808;4.5;212;67;0.4;4656;180;12.2;377;53;0.4;1306;112;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  365.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:51;;365;;707238;808;4.1;192;66;0.5;4884;179;11.8;297;53;0.3;1510;111;0.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  370.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:52;;370;;706198;807;3.8;118;67;0.4;4702;178;14.6;290;52;0.4;1636;111;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  375.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:52;;375;;705018;807;4.8;139;67;0.4;4904;179;14.1;286;51;0.8;1520;110;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 3 at  50kV\ZH-16-13  380.0mm  30s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;30;33;05.01.17 16:53;;380;;704287;806;3.6;212;66;0.7;4562;177;14.8;210;51;0.6;1366;107;0.8
