FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ni_Area ;Ni_ DArea ;Ni_ ChiSqr;Cu_Area ;Cu_ DArea ;Cu_ ChiSqr;Zn_Area ;Zn_ DArea ;Zn_ ChiSqr;Ga_Area ;Ga_ DArea ;Ga_ ChiSqr;Br_Area ;Br_ DArea ;Br_ ChiSqr;Rb_Area ;Rb_ DArea ;Rb_ ChiSqr;Sr_Area ;Sr_ DArea ;Sr_ ChiSqr;Y_Area ;Y_ DArea ;Y_ ChiSqr;Zr_Area ;Zr_ DArea ;Zr_ ChiSqr;Nb_Area ;Nb_ DArea ;Nb_ ChiSqr;Mo_Area ;Mo_ DArea ;Mo_ ChiSqr;Hg_Area ;Hg_ DArea ;Hg_ ChiSqr;Pb_Area ;Pb_ DArea ;Pb_ ChiSqr;Bi_Area ;Bi_ DArea ;Bi_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17   40.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;85;10.04.17 19:03;;40;;271;3;0.3;6283;4;1.1;9439;6;1.8;-92;7;0.7;6106;19;1.4;11271;24;0.8;54561;27;1.1;9412;28;1.6;12299;29;0.9;-2361;30;1.5;-3755;30;1.4;1431;9;1;8239;12;1;2847;13;1.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17   45.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;72;10.04.17 19:04;;45;;1478;3;5.1;11426;5;0.7;47183;8;1.4;-431;6;0.6;5288;15;1.2;12453;19;0.4;107238;23;1;6940;22;1.1;21308;23;0.5;1369;23;1;816;24;1.1;3809;8;2;13353;10;1.5;1265;10;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17   50.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;67;10.04.17 19:06;;50;;1385;3;2.2;11305;5;0.9;30240;7;0.5;-263;6;0.6;5991;15;1;11258;19;0.4;109398;23;0.8;6376;21;1.3;16657;23;0.9;1365;23;0.9;319;23;1.2;1671;8;1.1;12382;10;0.6;1519;10;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17   55.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;66;10.04.17 19:07;;55;;1333;92;3.1;10611;148;0.8;24742;219;1;-304;177;1.1;5991;491;0.9;12143;605;0.6;107631;825;0.7;7709;691;0.9;22700;742;1;-188;893;0.8;-850;897;1.2;1101;252;0.6;12155;314;0.9;1284;328;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17   60.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;66;10.04.17 19:08;;60;;1269;3;1;10619;5;0.5;23501;7;0.9;-59;6;0.6;5298;15;0.9;11029;19;0.5;104175;23;0.6;7619;22;0.9;19002;23;0.7;476;23;0.7;530;23;1.4;1262;8;0.9;12295;10;0.9;1242;10;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17   65.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;66;10.04.17 19:10;;65;;1132;3;3;9922;5;0.8;23324;7;0.7;-374;6;0.7;5943;15;1;10906;19;0.4;108989;23;0.8;7572;22;0.9;19919;23;0.4;-529;23;0.8;-423;24;1.3;1570;8;1;12117;10;0.8;1733;10;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17   70.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;68;10.04.17 19:11;;70;;1533;3;2.2;11125;5;0.4;25082;7;0.6;-96;6;0.7;6143;15;0.9;11210;19;0.7;112617;23;0.4;6189;22;1.5;19931;23;0.6;177;23;0.9;-104;24;1.2;971;8;1;11586;10;0.9;1645;10;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17   75.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;76;10.04.17 19:12;;75;;1311;3;1.2;11843;5;0.4;27353;7;0.4;-264;6;0.6;6790;15;1;13887;20;1;131099;25;0.9;6806;23;1;22267;25;0.8;-444;25;0.6;-942;25;0.9;811;8;0.4;13114;10;1.1;1325;11;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17   80.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;76;10.04.17 19:14;;80;;1614;3;1.8;11073;5;0.5;27179;7;0.9;-452;6;0.5;6685;15;0.7;13424;20;0.7;131924;25;1.1;8922;23;0.9;24813;25;0.7;2345;25;1.1;-404;25;1.1;967;8;0.5;13164;10;0.8;1313;11;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17   85.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;76;10.04.17 19:15;;85;;1408;3;1.7;10989;5;0.8;26627;7;0.4;-387;6;0.6;6474;15;0.5;13867;20;0.6;130620;25;0.4;7598;23;0.7;25266;25;0.5;670;25;1;784;25;0.5;968;8;0.4;13138;10;1.5;1252;11;1.3
