FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Al_Area ;Al_ DArea ;Al_ ChiSqr;Si_Area ;Si_ DArea ;Si_ ChiSqr;P_Area ;P_ DArea ;P_ ChiSqr;S_Area ;S_ DArea ;S_ ChiSqr;Cl_Area ;Cl_ DArea ;Cl_ ChiSqr;K_Area ;K_ DArea ;K_ ChiSqr;Ca_Area ;Ca_ DArea ;Ca_ ChiSqr;Rh_Area ;Rh_ DArea ;Rh_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20   30.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;11.04.17 12:31;;30;;5621;160;1.7;88245;354;0.8;-1697;190;2.7;12035;260;11.9;9646;767;4;-3188;362;5.6;1618231;1306;21.7;212855;1066;3.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20   35.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;11.04.17 12:32;;35;;5686;171;2.4;96839;374;1.4;-1854;212;6.2;12365;264;17.8;9459;738;7.1;1201;389;8.8;2484763;1584;31.7;193983;1034;5.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20   40.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;51;11.04.17 12:33;;40;;6062;189;2;123339;421;2.1;-2678;245;7.9;18300;295;12;10640;749;8.9;9192;425;12.2;3646607;1893;37.7;195291;1054;11.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20   45.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;52;11.04.17 12:34;;45;;7062;196;2.2;149025;455;1.4;-2823;247;4.1;20067;300;12;8115;738;7.2;15719;440;15.3;3794769;1930;34.4;188690;1048;10.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20   50.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;52;11.04.17 12:35;;50;;8124;198;2.5;155907;462;1.3;-2445;244;4.3;21025;299;8.2;9448;725;5.7;19850;445;21;3707476;1909;35.2;184846;1029;10
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20   55.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;52;11.04.17 12:36;;55;;6828;190;2.8;126252;425;1;-2336;245;5.4;18318;294;8;10167;751;6.7;9911;430;12.8;3760589;1920;39.6;193928;1059;10
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20   60.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;51;11.04.17 12:37;;60;;6217;188;1.2;131593;431;1.6;-2752;242;5.9;15940;291;13.3;10166;757;6.9;10427;431;14.8;3583078;1880;39.9;203461;1070;9.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20   65.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;53;11.04.17 12:38;;65;;7178;195;2.6;133482;436;2.1;-2649;248;4;17426;297;10.8;9295;773;8;13178;446;16.4;3827585;1941;42.5;205708;1095;11.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20   70.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;53;11.04.17 12:39;;70;;6108;192;3.2;122450;422;2;-2589;248;6;14807;295;16.1;10134;791;7.2;6911;435;15.8;3816148;1938;43.8;216884;1112;8.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20   75.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;53;11.04.17 12:40;;75;;5881;194;3.3;115283;414;2.7;-2846;253;5.4;13566;294;19.9;8847;815;6.1;4560;435;12.2;3924458;1964;49.3;229751;1144;6.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20   80.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;53;11.04.17 12:42;;80;;6063;191;2.7;118586;417;1.5;-2693;248;6;14467;292;18.5;9600;796;8.6;5545;437;15;3810885;1937;44.7;219822;1122;9.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20   85.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;54;11.04.17 12:43;;85;;6350;193;3.9;119826;419;2.6;-2606;251;4.9;13757;291;31.5;9445;800;9.5;4180;439;14.4;3923066;1965;45.4;225922;1130;10.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20   90.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;52;11.04.17 12:44;;90;;6170;190;3;108731;403;1.8;-2622;246;5.4;11576;291;30.4;12256;860;6.1;2539;429;11.5;3645492;1898;50.2;252911;1196;7
