FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Al_Area ;Al_ DArea ;Al_ ChiSqr;Si_Area ;Si_ DArea ;Si_ ChiSqr;P_Area ;P_ DArea ;P_ ChiSqr;S_Area ;S_ DArea ;S_ ChiSqr;Cl_Area ;Cl_ DArea ;Cl_ ChiSqr;K_Area ;K_ DArea ;K_ ChiSqr;Ca_Area ;Ca_ DArea ;Ca_ ChiSqr;Rh_Area ;Rh_ DArea ;Rh_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   45.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;25/01/2017 18:10:39;;45;;308;101;0.7;69378;299;0.9;-512;127;1.1;11041;223;7.5;16180;762;2.5;-2560;288;2.9;114910;475;1.1;172332;990;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   46.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;25/01/2017 18:12:27;;46;;589;101;1;68516;296;0.8;-176;123;0.9;10682;221;13.8;15248;776;2.6;-2793;284;2.5;93221;446;0.8;170210;995;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   47.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;25/01/2017 18:14:15;;47;;297;99;0.7;67904;295;0.7;-187;121;1.1;6895;210;11.4;16300;846;1.4;-2209;285;2.2;73143;422;0.7;178273;1051;1.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   48.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;25/01/2017 18:16:02;;48;;411;101;0.5;67182;294;1.2;-192;123;0.7;7742;218;5.4;18862;1094;1.3;-2050;293;1.5;40784;374;1.2;191355;1213;1.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   49.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;25/01/2017 18:17:50;;49;;728;101;0.4;66941;294;0.6;-279;125;0.9;6392;213;5.3;19793;876;1.5;-2272;296;2.3;81069;440;0.9;193400;1084;1.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   50.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;97;25/01/2017 18:19:38;;50;;286;108;0.4;69144;303;0.5;-522;137;0.5;5443;216;10.2;19643;752;0.9;-658;313;4.1;323414;671;1.8;193466;1010;1.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   51.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;98;25/01/2017 18:21:27;;51;;589;119;1.2;75350;321;1.2;25;162;1.5;7216;229;7.6;19080;728;2.8;2321;338;5.8;863957;986;5.7;184977;993;4.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   52.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;100;25/01/2017 18:23:16;;52;;853;131;1.1;83893;342;1.4;-559;181;2;6013;231;11;20326;719;5.2;7641;365;9.6;1390161;1213;10.7;180216;988;7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   53.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;100;25/01/2017 18:25:09;;53;;987;134;0.5;87347;348;1.5;-426;184;0.7;6420;234;5.7;21289;728;4.3;7387;369;12.8;1514702;1260;10.6;182801;999;6.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   54.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;100;25/01/2017 18:27:02;;54;;881;135;0.8;87225;348;0.9;-530;183;1.1;7509;239;5.1;20960;735;4.7;8494;370;11.7;1484701;1249;11.5;186184;1010;6.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   55.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;99;25/01/2017 18:28:55;;55;;1101;129;1;82637;338;0.7;-733;177;1.7;6399;234;5.3;20032;730;2.7;7483;362;9;1302795;1177;10.4;183241;1001;4.5
