FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ti_Area ;Ti_ DArea ;Ti_ ChiSqr;V_Area ;V_ DArea ;V_ ChiSqr;Cr_Area ;Cr_ DArea ;Cr_ ChiSqr;Mn_Area ;Mn_ DArea ;Mn_ ChiSqr;Fe_Area ;Fe_ DArea ;Fe_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   45.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;25/01/2017 18:10:39;;45;;604;600;1.3;3012;485;4.9;6277;422;4.2;1677;432;1.1;14611;481;0.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   46.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;25/01/2017 18:12:27;;46;;189;602;2.5;2458;485;2.6;6402;420;3.7;1438;428;0.6;11038;467;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   47.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;25/01/2017 18:14:15;;47;;-12;632;2.1;2024;510;3.4;6709;430;5.2;528;440;1.8;10144;473;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   48.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;25/01/2017 18:16:02;;48;;-516;692;0.6;1440;556;3.6;6524;445;3.2;1469;456;0.7;7628;477;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   49.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;25/01/2017 18:17:50;;49;;695;644;0.8;1841;518;4.5;6700;438;3.9;1050;449;1.4;11256;485;0.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   50.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;97;25/01/2017 18:19:38;;50;;18;574;1.9;1866;461;1.8;5874;414;4;816;422;1.1;34862;534;0.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   51.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;98;25/01/2017 18:21:27;;51;;1631;561;2.2;2059;450;2.2;6286;404;2.8;1623;413;0.7;82340;558;0.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   52.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;100;25/01/2017 18:23:16;;52;;4820;532;2.4;2189;423;3.1;8096;386;6.7;2961;388;1.4;100225;562;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   53.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;100;25/01/2017 18:25:09;;53;;4413;525;4.2;3136;420;2.5;8199;383;5.4;1564;383;1;83200;542;1.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 1 at  10kV\ZH-16-10_1mm   54.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;100;25/01/2017 18:27:02;;54;;4657;524;2.8;2943;419;3.7;8559;383;6.2;1930;384;1.3;107563;564;1.2
