FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ni_Area ;Ni_ DArea ;Ni_ ChiSqr;Cu_Area ;Cu_ DArea ;Cu_ ChiSqr;Zn_Area ;Zn_ DArea ;Zn_ ChiSqr;Ga_Area ;Ga_ DArea ;Ga_ ChiSqr;Br_Area ;Br_ DArea ;Br_ ChiSqr;Rb_Area ;Rb_ DArea ;Rb_ ChiSqr;Sr_Area ;Sr_ DArea ;Sr_ ChiSqr;Y_Area ;Y_ DArea ;Y_ ChiSqr;Zr_Area ;Zr_ DArea ;Zr_ ChiSqr;Nb_Area ;Nb_ DArea ;Nb_ ChiSqr;Mo_Area ;Mo_ DArea ;Mo_ ChiSqr;Hg_Area ;Hg_ DArea ;Hg_ ChiSqr;Pb_Area ;Pb_ DArea ;Pb_ ChiSqr;Bi_Area ;Bi_ DArea ;Bi_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 2 at  30kV\ZH-16-10_1mm   45.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;124;26/01/2017 00:36:47;;45;;112;90;0.5;4804;140;2.7;8211;200;3.2;-174;245;0.4;5960;682;0.8;11700;862;1.5;17533;930;2.6;11739;973;2.1;6648;992;1.6;-1135;1044;1.1;-1473;1038;1;1420;341;0.8;8017;432;1.6;2594;471;2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 2 at  30kV\ZH-16-10_1mm   46.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;125;26/01/2017 00:39:02;;46;;155;93;0.3;4797;152;3.4;4367;199;2.6;-124;258;0.6;7095;751;1.4;12292;925;1.7;17687;996;1.7;13702;1042;2.4;7532;1060;1.8;-3405;1199;0.7;196;1123;0.7;1181;371;0.6;8332;475;1.8;3045;516;1.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 2 at  30kV\ZH-16-10_1mm   47.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;127;26/01/2017 00:41:19;;47;;266;95;0.7;5019;153;3.4;3207;197;1.3;-462;263;0.3;7053;769;0.7;12464;951;1.8;20770;1032;1.5;13530;1073;2.1;7115;1097;1.8;-736;1197;0.8;4674;1134;0.9;1114;377;0.8;8486;485;1.8;3241;529;2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 2 at  30kV\ZH-16-10_1mm   48.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;129;26/01/2017 00:43:37;;48;;250;3;0.7;4834;5;5.7;2800;6;1.6;-361;9;0.3;7990;24;1.6;14007;31;2.6;20888;34;2;17153;36;1.9;8048;36;1.2;-212;37;0.8;2553;37;0.8;1198;12;0.6;8177;15;1.9;2854;17;1.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 2 at  30kV\ZH-16-10_1mm   49.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;129;26/01/2017 00:45:58;;49;;395;95;0.5;4914;150;2.3;7115;212;2.6;-239;260;0.6;6695;768;1.1;12434;951;1.2;18227;1026;1.7;15271;1079;2.4;11325;1104;1.3;-1498;1288;1.6;-2407;1234;0.7;1497;375;0.9;8639;481;1.4;3194;525;1.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 2 at  30kV\ZH-16-10_1mm   50.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;130;26/01/2017 00:48:20;;50;;273;87;0.4;5526;136;0.5;13287;206;3;-148;235;0.5;6191;654;1.5;9980;845;1.6;23033;923;1.7;10902;966;1.8;10580;995;1.3;1144;1010;1.6;-2119;1020;1.3;1151;324;0.6;10618;418;1.8;2672;454;2.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 2 at  30kV\ZH-16-10_1mm   51.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;129;26/01/2017 00:50:41;;51;;471;86;0.6;6930;137;1.2;33141;244;1.3;-572;219;0.7;6562;607;1.1;9900;788;1.4;37366;873;1.2;9308;904;1.2;8246;934;0.9;4893;949;1;809;963;1;983;300;0.5;15157;393;1.3;2503;421;1.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 2 at  30kV\ZH-16-10_1mm   52.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;124;26/01/2017 00:53:03;;52;;640;87;0.3;9506;145;0.6;97574;359;1.1;-902;208;0.9;6920;589;0.8;8907;722;0.6;78153;882;1;9084;828;1.4;14013;863;0.8;2871;879;0.4;3725;1072;0.5;3086;299;0.9;27792;386;1.9;1529;390;1.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 2 at  30kV\ZH-16-10_1mm   53.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;122;26/01/2017 00:55:19;;53;;739;85;0.5;11155;151;1.7;114465;381;1.9;-781;205;1.2;8118;564;1;9143;683;0.5;98149;903;0.8;7993;775;1.8;15991;814;0.4;3416;821;0.6;5042;978;0.6;3466;292;0.6;32646;381;2.1;1394;375;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 2 at  30kV\ZH-16-10_1mm   54.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;122;26/01/2017 00:57:31;;54;;623;85;0.8;11772;153;0.6;151182;424;1.3;-1270;206;1.1;6798;560;1;10020;680;0.4;97624;897;0.4;6981;770;1.4;17656;810;1;3177;807;0.6;4941;962;0.9;2304;289;0.7;35210;383;2;1500;374;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 2 at  30kV\ZH-16-10_1mm   55.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;121;26/01/2017 00:59:44;;55;;593;3;0.7;10154;5;1.3;109673;12;1.2;-1080;6;1.1;7261;17;0.9;10317;21;1.4;98951;25;0.6;7915;24;2.1;14511;25;0.6;3870;25;0.6;4101;26;0.6;2207;9;0.6;31911;12;2.2;2231;12;0.7
