FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ag_Area ;Ag_ DArea ;Ag_ ChiSqr;Cd_Area ;Cd_ DArea ;Cd_ ChiSqr;Sn_Area ;Sn_ DArea ;Sn_ ChiSqr;Te_Area ;Te_ DArea ;Te_ ChiSqr;Ba_Area ;Ba_ DArea ;Ba_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   45.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:15:45;;45;;630425;762;4.3;138;61;0.6;3942;163;12.2;277;46;0.4;1575;98;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   46.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:17:28;;46;;627751;761;3.3;115;62;0.5;4154;166;11.8;322;47;0.8;1765;101;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   47.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:19:11;;47;;630415;763;3.4;170;62;0.7;4376;169;11.5;288;48;0.6;1834;107;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   48.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:20:55;;48;;631616;763;3.3;270;61;0.7;4090;169;11.1;296;48;1.1;2029;108;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   49.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:22:38;;49;;631856;764;3.4;196;62;0.5;4192;167;12.1;324;50;0.5;2005;109;0.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   50.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:24:22;;50;;630829;763;3.4;255;61;0.4;4517;169;11.3;287;50;0.7;2062;109;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   51.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:26:06;;51;;628260;24;2.4;228;2;0.4;4852;5;12.7;376;2;0.7;2403;3;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   52.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:27:49;;52;;627552;761;3.4;194;62;0.5;4713;167;11.6;306;48;0.6;1689;107;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   53.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:29:33;;53;;628718;761;3.3;325;62;0.9;4942;168;14.9;265;47;0.4;931;101;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   54.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:31:17;;54;;628187;761;3.5;334;63;0.5;4421;167;11.4;248;47;0.4;1012;101;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   55.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:33:00;;55;;627247;760;3.1;282;63;0.8;4412;167;12.3;323;45;0.6;796;99;0.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   56.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:34:44;;56;;627382;761;3.8;309;62;0.5;4864;167;12;256;46;0.4;883;99;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   57.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:36:28;;57;;627546;761;3.5;320;63;0.4;5195;169;12.2;307;47;0.8;1091;101;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   58.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:38:11;;58;;626921;761;3.5;255;64;0.5;5159;169;11;249;46;0.6;1049;102;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   59.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:39:55;;59;;626609;760;3.6;402;62;0.7;5089;170;11.6;274;47;0.3;1309;104;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   60.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:41:39;;60;;628419;762;2.8;369;65;0.3;4952;171;11.1;302;47;0.5;1395;105;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   61.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:43:23;;61;;626422;760;3.7;408;65;0.6;5573;171;10.4;355;48;0.8;1614;106;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   62.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:45:06;;62;;627163;761;3.1;292;65;0.6;5479;170;13.9;330;47;0.8;1544;103;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   63.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:46:50;;63;;627301;761;2.8;406;65;0.8;5945;173;11.7;301;47;0.6;1419;105;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   64.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:48:34;;64;;627717;761;3.3;364;64;0.8;5305;171;11.9;370;48;0.5;1472;105;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   65.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:50:18;;65;;629091;762;3.6;319;65;0.4;5484;172;11.4;396;47;0.5;1695;107;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   66.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:52:02;;66;;628659;762;3.1;656;70;0.5;5960;172;11.4;245;48;0.5;1726;105;0.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   67.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:53:46;;67;;627823;762;4.4;582;67;0.8;5563;171;12.7;250;47;0.5;1856;108;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10_1mm\Run 3 at  50kV\ZH-16-10_1mm   68.0mm  90s  50kV 2000uA Cu   0.0mm Run3 Rep0.wax;90;92;26/01/2017 08:55:29;;68;;630101;763;3.2;513;65;0.5;5299;171;12.7;382;48;0.6;1815;108;0.5
