FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ni_Area ;Ni_ DArea ;Ni_ ChiSqr;Cu_Area ;Cu_ DArea ;Cu_ ChiSqr;Zn_Area ;Zn_ DArea ;Zn_ ChiSqr;Ga_Area ;Ga_ DArea ;Ga_ ChiSqr;Br_Area ;Br_ DArea ;Br_ ChiSqr;Rb_Area ;Rb_ DArea ;Rb_ ChiSqr;Sr_Area ;Sr_ DArea ;Sr_ ChiSqr;Y_Area ;Y_ DArea ;Y_ ChiSqr;Zr_Area ;Zr_ DArea ;Zr_ ChiSqr;Nb_Area ;Nb_ DArea ;Nb_ ChiSqr;Mo_Area ;Mo_ DArea ;Mo_ ChiSqr;Hg_Area ;Hg_ DArea ;Hg_ ChiSqr;Pb_Area ;Pb_ DArea ;Pb_ ChiSqr;Bi_Area ;Bi_ DArea ;Bi_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 2 at  30kV\ZH-16-11_1mm   45.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;123;27/01/2017 17:15:38;;45;;201;100;0.8;4602;161;4.5;1428;198;1;-454;274;0.5;7915;803;1.2;13006;977;1.6;17526;1040;2;14502;1088;2.1;7629;1108;1.5;3649;1156;0.4;1848;1115;0.4;1498;395;0.9;8889;526;1.7;2598;574;1.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 2 at  30kV\ZH-16-11_1mm   46.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;123;27/01/2017 17:17:54;;46;;198;99;0.5;4703;158;6.2;1885;197;1.2;-337;272;0.4;8632;805;1.6;12887;980;2;19033;1047;2;15956;1095;2.7;10515;1118;1.5;2263;1185;0.7;5565;1132;0.6;1196;395;0.5;8745;526;1.7;2870;575;1.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 2 at  30kV\ZH-16-11_1mm   47.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;123;27/01/2017 17:20:09;;47;;118;99;0.4;4822;148;4.5;2249;192;1;240;267;0.8;8337;739;1;12687;940;1.3;18573;1014;1.8;14478;1061;1.8;8276;1084;1.9;2185;1095;0.6;3976;1099;0.7;1075;366;0.4;8720;466;1.6;3037;511;1.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 2 at  30kV\ZH-16-11_1mm   48.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;123;27/01/2017 17:22:24;;48;;209;3;0.4;4521;5;4.5;2831;6;0.9;-254;8;0.5;8093;23;1.1;11232;29;1.3;20168;32;1.7;14306;33;2;7759;34;1;742;34;0.6;5447;35;0.5;1510;11;1.1;8209;15;2.2;2996;16;1.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 2 at  30kV\ZH-16-11_1mm   49.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;123;27/01/2017 17:24:39;;49;;391;86;0.5;5298;135;2.7;6459;182;2.5;169;222;0.5;5635;625;1;9079;798;1.3;30185;883;1.1;9914;911;1.7;6346;936;1.1;-3220;981;1;251;973;0.7;1228;308;1;8734;395;1.4;2729;430;1.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 2 at  30kV\ZH-16-11_1mm   50.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;123;27/01/2017 17:26:55;;50;;627;86;0.6;6288;133;1.2;11465;187;1.8;-284;204;0.4;5409;569;0.6;8692;733;1;51366;837;1;8301;845;1.7;7419;876;0.9;-1037;925;1.1;1038;929;1.5;700;281;0.7;9140;361;0.8;2082;391;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 2 at  30kV\ZH-16-11_1mm   51.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;122;27/01/2017 17:29:09;;51;;823;87;0.9;6544;132;1;13600;189;1.2;-109;199;0.8;6023;541;1.3;9505;705;1;69062;811;0.6;7416;813;1.1;9000;847;0.5;-1997;859;1.7;360;876;1.8;847;271;0.5;10415;350;0.7;1730;376;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 2 at  30kV\ZH-16-11_1mm   52.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;120;27/01/2017 17:31:22;;52;;826;3;0.5;6699;4;0.3;14977;6;0.7;-443;6;0.3;5038;17;0.9;10303;21;1;85950;25;1.2;6034;24;1.5;11690;25;0.7;30;26;0.7;410;26;1.9;1164;8;0.6;10831;11;1.3;2151;12;1.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 2 at  30kV\ZH-16-11_1mm   53.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;119;27/01/2017 17:33:33;;53;;693;3;0.7;6272;4;0.8;14774;6;0.6;-297;6;0.7;5802;16;0.6;10341;21;0.7;98571;25;1.1;7455;24;0.8;10468;25;0.6;163;25;1.1;2270;25;1.5;638;8;0.4;11414;11;1.2;2133;11;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 2 at  30kV\ZH-16-11_1mm   54.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;119;27/01/2017 17:35:45;;54;;812;3;0.3;6344;4;0.6;15185;6;0.9;-15;6;0.7;5942;16;0.8;10159;21;0.8;98791;25;0.7;6796;24;0.8;13000;25;0.7;-962;25;0.8;1492;25;1.1;543;8;0.5;10586;11;0.8;2102;11;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 2 at  30kV\ZH-16-11_1mm   55.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;120;27/01/2017 17:37:57;;55;;679;3;0.9;6472;4;1.3;14926;6;0.5;-190;6;0.6;5769;16;0.9;10178;21;0.7;100548;25;1;6019;24;1.1;11730;25;0.7;-636;25;0.8;667;26;1.1;841;8;0.6;10844;11;0.9;2231;12;1.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 2 at  30kV\ZH-16-11_1mm   56.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;120;27/01/2017 17:40:09;;56;;766;3;0.7;6342;4;0.5;15374;6;0.7;34;6;0.7;5875;16;0.9;10742;21;0.5;98812;25;1.2;6038;24;1.3;11906;25;1.1;-531;25;0.7;772;26;1.6;901;8;0.6;10464;11;1.3;1931;12;1.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 2 at  30kV\ZH-16-11_1mm   57.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;120;27/01/2017 17:42:20;;57;;551;3;0.7;6485;4;0.5;15994;6;0.8;77;6;0.6;6336;16;1.2;11031;21;1.1;98636;25;0.6;6461;24;1;10699;25;0.6;186;25;1;3350;26;0.9;709;8;0.4;10943;11;1;1897;12;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 2 at  30kV\ZH-16-11_1mm   58.0mm  90s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;90;120;27/01/2017 17:44:32;;58;;575;3;0.5;6397;4;0.5;16383;6;1.1;-25;6;0.4;6127;16;0.9;10604;21;0.9;100284;25;0.6;7541;24;0.9;13603;25;0.6;1825;25;1.1;2453;25;1;780;8;0.6;11185;11;0.9;2272;12;1
