CoreID,Name,Extraction,Run,d202/198,D199,D200,D201,D204
AW-13-16,A16Hg1,F1,1,-1.8,0.03,0.1,0.07,0.02
AW-13-16,A16Hg1,F1,2,-1.5,0.02,0.1,0.08,-0.01
AW-13-16,A16Hg1,F1,3,-1.3,0.02,-0.1,0.01,0.02
AW-13-16,A16Hg1,F2,1,-1.3,0.04,0.1,-0.02,-0.01
AW-13-16,A16Hg1,F2,2,-1.2,0.02,-0,-0.03,-0.02
AW-13-16,A16Hg1,T,1,-1.4,0.03,0.1,0.03,-0.01
AW-13-16,A16Hg1,T,2,-1.2,0.01,0,-0.01,-0.01
ZH-16-10,Z10Hg10,F1,1,-0.5,-0.08,-0,-0.03,0.03
ZH-16-10,Z10Hg10,F2,1,-0.8,-0.01,0.1,-0.03,-0.03
ZH-16-10,Z10Hg10,T,1,-0.5,-0.04,-0.1,-0.05,-0.08
ZH-16-10,Z10Hg3,F1,1,-0.3,0.01,-0.1,-0.05,-0.05
ZH-16-10,Z10Hg3,F2,1,-0.8,-0.06,0,-0.04,0.01
ZH-16-10,Z10Hg3,F2,2,-1.1,-0.05,0,-0.02,-0
ZH-16-10,Z10Hg3,T,1,-0.5,-0.01,-0,-0.03,-0.02
ZH-16-10,Z10Hg6,F1,1,-0.4,-0.06,0,-0.08,-0.01
ZH-16-10,Z10Hg6,F2,1,-0.7,-0.08,-0.2,-0.07,0.03
ZH-16-10,Z10Hg6,T,1,-0.5,-0.04,-0,-0.06,-0.03
ZH-16-11,Z11Hg5,F1,1,-0.5,-0.02,-0,-0.03,0.04
ZH-16-11,Z11Hg5,F2,1,-0.3,0.01,0.1,-0.07,-0.07
ZH-16-11,Z11Hg5,F2,2,-0.3,-0.01,0.1,-0.09,0
ZH-16-11,Z11Hg5,F2,3,0.1,0,0,-0.05,0.02
ZH-16-11,Z11Hg5,T,1,-0.4,-0.02,0,-0.03,0.02
