CoreID,Cd,Cr,Cu,Hg,Pb,Sn,Zn
AW-13-16,286,2941,5093,2162,24321,520,26988
ZH-16-10,49,1312,2165,474,11641,252,6650
ZH-16-11,22,545,538,122,2436,177,1559
ZH-16-12,17,308,292,86,1028,171,721
ZH-16-13,14,249,291,79,767,175,575
ZH-16-14,14,305,241,85,733,174,620
ZH-16-15,22,236,175,79,749,190,611
ZH-16-16,14,279,171,81,758,170,625
ZH-17-17,41,401,2036,258,2863,176,2262
ZH-17-18,19,273,672,113,1509,174,1035
ZH-17-19,20,301,289,91,604,161,486
ZH-17-20,,512,123,76,540,,384
ZH-17-21,24,373,318,89,789,206,901
